Bedrooms,Bedrooms(category),Property Category,Price,Price(with currency),District,Scraped_At
4,4 bedrooms,4bdrm Duplex in Jabi for rent,30000000,"₦ 30,000,000",Jabi,2026-05-30 13:25:56
3,3 bedrooms,Furnished 3bdrm Duplex in Katampe Extension for rent,25000000,"₦ 25,000,000",Katampe Extension,2026-05-30 13:25:56
4,4 bedrooms,4bdrm Duplex in Katampe Extension for rent,20000000,"₦ 20,000,000",Katampe Extension,2026-05-30 13:26:04
2,2 bedrooms,Furnished 2bdrm Block of Flats in Durumi for rent,60000000,"₦ 60,000,000",Durumi,2026-05-30 13:26:04
4,4 bedrooms,Furnished 4bdrm Apartment in Asokoro for rent,25000000,"₦ 25,000,000",Asokoro,2026-05-30 13:26:04
3,3 bedrooms,3bdrm Duplex in Jabi for rent,15000000,"₦ 15,000,000",Jabi,2026-05-30 13:26:04
1,1 bedroom,Furnished Studio Apartment in Gwarinpa for rent,1054000,"₦ 1,054,000",Gwarinpa,2026-05-30 13:26:04
2,2 bedrooms,"Furnished 2bdrm Apartment in Villa, Asokoro for rent",15000000,"₦ 15,000,000",Asokoro,2026-05-30 13:26:04
1,1 bedroom,"1bdrm Block of Flats in Non, Sabon Lugbe for rent",2500000,"₦ 2,500,000",Sabon Lugbe,2026-05-30 13:26:04
2,2 bedrooms,2bdrm Bungalow in Asokoro for rent,15000000,"₦ 15,000,000",Asokoro,2026-05-30 13:26:04
4,4 bedrooms,4bdrm Penthouse in Mabushi for rent,12000000,"₦ 12,000,000",Mabushi,2026-05-30 13:26:04
5,5 bedrooms,5bdrm Duplex in Maitama for rent,50000000,"₦ 50,000,000",Maitama,2026-05-30 13:26:04
4,4 bedrooms,4bdrm Duplex in Jabi for rent,30000000,"₦ 30,000,000",Jabi,2026-05-30 13:26:04
3,3 bedrooms,3bdrm Apartment in Wuse 2 for rent,13000000,"₦ 13,000,000",Wuse 2,2026-05-30 13:26:04
2,2 bedrooms,2bdrm Apartment in Katampe Extension for rent,7000000,"₦ 7,000,000",Katampe Extension,2026-05-30 13:26:04
5,5 bedrooms,"5bdrm Duplex in Abuja, Guzape District for rent",30000000,"₦ 30,000,000",Guzape District,2026-05-30 13:26:04
2,2 bedrooms,2bdrm Apartment in Lokogoma for rent,3999999,"₦ 3,999,999",Lokogoma,2026-05-30 13:26:04
1,1 bedroom,Furnished Studio Apartment in Gwarinpa for rent,450000,"₦ 450,000",Gwarinpa,2026-05-30 13:26:04
1,1 bedroom,"1bdrm Apartment in Queen Street, Galadimawa for rent",1100000,"₦ 1,100,000",Galadimawa,2026-05-30 13:26:04
4,4 bedrooms,"4bdrm Townhouse / Terrace in Estate, Karmo for rent",6000000,"₦ 6,000,000",Karmo,2026-05-30 13:26:04
2,2 bedrooms,2bdrm Block of Flats in Katampe for rent,8000000,"₦ 8,000,000",Katampe,2026-05-30 13:26:04
1,1 bedroom,Furnished 1bdrm Apartment in Katampe for rent,2100000,"₦ 2,100,000",Katampe (Main),2026-05-30 13:26:04
4,4 bedrooms,"4bdrm Duplex in 3Rd Avenue Gwarimpa, Gwarinpa for rent",20000000,"₦ 20,000,000",Gwarinpa,2026-05-30 13:26:04
4,4 bedrooms,4bdrm Block of Flats in Maitama for rent,50000000,"₦ 50,000,000",Maitama,2026-05-30 13:26:04
2,2 bedrooms,"Furnished 2bdrm Apartment in Auta Ibrahim Street, Wuye for rent",4000000,"₦ 4,000,000",Wuye,2026-05-30 13:26:04
1,1 bedroom,"1bdrm Block of Flats in Justice, Karsana for rent",1600000,"₦ 1,600,000",Karsana,2026-05-30 13:26:04
1,1 bedroom,1bdrm Block of Flats in Lokogoma for rent,3000000,"₦ 3,000,000",Lokogoma,2026-05-30 13:26:12
7,7 bedrooms,"7bdrm Duplex in 4Avenue, Bunkoro for rent",15000000,"₦ 15,000,000",Bunkoro,2026-05-30 13:26:12
2,2 bedrooms,2bdrm Apartment in Wuye for rent,7000000,"₦ 7,000,000",Wuye,2026-05-30 13:26:12
6,6 bedrooms,6bdrm House in Guzape District for rent,30000000,"₦ 30,000,000",Guzape District,2026-05-30 13:26:12
4,4 bedrooms,"4bdrm Duplex in Peachville Estate, Dakibiyu for rent",10000000,"₦ 10,000,000",Dakibiyu,2026-05-30 13:26:12
3,3 bedrooms,3bdrm Townhouse / Terrace in Guzape District for rent,18000000,"₦ 18,000,000",Guzape District,2026-05-30 13:26:12
5,5 bedrooms,5bdrm Duplex in Jabi for rent,25000000,"₦ 25,000,000",Jabi,2026-05-30 13:26:12
2,2 bedrooms,Furnished 2bdrm Block of Flats in Asokoro for rent,18000000,"₦ 18,000,000",Asokoro,2026-05-30 13:26:12
1,1 bedroom,Furnished Studio Apartment in Gwarinpa for rent,658750,"₦ 658,750",Gwarinpa,2026-05-30 13:26:12
4,4 bedrooms,4bdrm Duplex in Asokoro for rent,40000000,"₦ 40,000,000",Asokoro,2026-05-30 13:26:12
1,1 bedroom,Furnished Studio Apartment in Wuse 2 for rent,5000000,"₦ 5,000,000",Wuse 2,2026-05-30 13:26:12
3,3 bedrooms,"3bdrm Bungalow in Efab City Estate, Jabi for rent",7000000,"₦ 7,000,000",Jabi,2026-05-30 13:26:12
5,5 bedrooms,"5bdrm Duplex in Efab Metropolis, Gwarinpa for rent",20000000,"₦ 20,000,000",Gwarinpa,2026-05-30 13:26:12
5,5 bedrooms,Furnished 5bdrm Duplex in Guzape District for rent,20000000,"₦ 20,000,000",Guzape District,2026-05-30 13:26:12
4,4 bedrooms,4bdrm Duplex in Guzape Main for rent,25000000,"₦ 25,000,000",Guzape District,2026-05-30 13:26:12
5,5 bedrooms,Furnished 5bdrm Duplex in Utako for rent,60000000,"₦ 60,000,000",Utako,2026-05-30 13:26:12
6,6 bedrooms,6bdrm Duplex in Maitama for rent,79999999,"₦ 79,999,999",Maitama,2026-05-30 13:26:12
3,3 bedrooms,3bdrm Block of Flats in Guzape District for rent,6500000,"₦ 6,500,000",Guzape District,2026-05-30 13:26:12
3,3 bedrooms,3bdrm Block of Flats in Dawaki for rent,4000000,"₦ 4,000,000",Dawaki,2026-05-30 13:26:12
4,4 bedrooms,4bdrm Duplex in Idu for rent,6500000,"₦ 6,500,000",Idu,2026-05-30 13:26:12
4,4 bedrooms,Furnished 4bdrm Duplex in Life Camp for rent,16000000,"₦ 16,000,000",Life Camp,2026-05-30 13:26:12
9,9 bedrooms,9bdrm Mansion in Maitama for rent,75000000,"₦ 75,000,000",Maitama,2026-05-30 13:26:12
1,1 bedroom,"Studio Apartment in Seman Estate, Sabon Lugbe for rent",1000000,"₦ 1,000,000",Sabon Lugbe,2026-05-30 13:26:12
5,5 bedrooms,"5bdrm Duplex in Efab Metropolis, Karsana for rent",20000000,"₦ 20,000,000",Karsana,2026-05-30 13:26:12
1,1 bedroom,"Furnished Studio Apartment in Freedom Avenue, Kubwa for rent",600000,"₦ 600,000",Kubwa,2026-05-30 13:26:19
1,1 bedroom,1bdrm Apartment in Kubwa Estate for rent,45000000,"₦ 45,000,000",Kubwa,2026-05-30 13:26:19
2,2 bedrooms,"2bdrm Block of Flats in In An Estate, FHA for rent",2500000,"₦ 2,500,000",FHA,2026-05-30 13:26:19
1,1 bedroom,Furnished 1bdrm Apartment in Apo Resettlement for rent,3000000,"₦ 3,000,000",Apo Resettlement,2026-05-30 13:26:19
6,6 bedrooms,6bdrm Duplex in Area 1 for rent,24999999,"₦ 24,999,999",Area 1,2026-05-30 13:26:19
3,3 bedrooms,3bdrm Duplex in Maitama for rent,49999999,"₦ 49,999,999",Maitama,2026-05-30 13:26:19
4,4 bedrooms,4bdrm Duplex in Katampe for rent,20000000,"₦ 20,000,000",Katampe Extension,2026-05-30 13:26:19
2,2 bedrooms,2bdrm Apartment in Guzape for rent,6500000,"₦ 6,500,000",Guzape District,2026-05-30 13:26:19
3,3 bedrooms,3bdrm Block of Flats in Guzape for rent,12000000,"₦ 12,000,000",Guzape District,2026-05-30 13:26:19
4,4 bedrooms,4bdrm Duplex in Apo District for rent,10000000,"₦ 10,000,000",Apo District,2026-05-30 13:26:19
