Bedrooms,Bedrooms(category),Property Category,Price,Price(with currency),District,Scraped_At
3,3 bedrooms,"3bdrm Block of Flats in Regent Apartment, Katampe Extension for rent",10000000,"₦ 10,000,000",Katampe Extension,2026-05-30 13:26:51
4,4 bedrooms,4bdrm Duplex in Wuye for rent,18000000,"₦ 18,000,000",Wuye,2026-05-30 13:26:51
2,2 bedrooms,"2bdrm Bungalow in Abuja, Asokoro for rent",10000000,"₦ 10,000,000",Asokoro,2026-05-30 13:26:51
3,3 bedrooms,3bdrm Apartment in Mabushi for rent,12000000,"₦ 12,000,000",Mabushi,2026-05-30 13:26:51
3,3 bedrooms,3bdrm Apartment in Idu for rent,5500000,"₦ 5,500,000",Idu Industrial,2026-05-30 13:26:51
2,2 bedrooms,Furnished 2bdrm Apartment in Jahi for rent,19000000,"₦ 19,000,000",Jahi,2026-05-30 13:26:51
5,5 bedrooms,"5bdrm Bungalow in Suncity Estate, Galadimawa for rent",10000000,"₦ 10,000,000",Galadimawa,2026-05-30 13:26:51
2,2 bedrooms,2bdrm Block of Flats in Dawaki for rent,4500000,"₦ 4,500,000",Dawaki,2026-05-30 13:26:51
5,5 bedrooms,Furnished 5bdrm Duplex in Guzape for rent,30000000,"₦ 30,000,000",Guzape District,2026-05-30 13:26:51
3,3 bedrooms,"Furnished 3bdrm Duplex in Rockvale Manors, Gudu for rent",13000000,"₦ 13,000,000",Gudu,2026-05-30 13:26:51
2,2 bedrooms,Furnished 2bdrm Block of Flats in Jabi for rent,42000000,"₦ 42,000,000",Jabi,2026-05-30 13:26:51
4,4 bedrooms,"4bdrm Duplex in Tangerine Exquisite, Life Camp for rent",16000000,"₦ 16,000,000",Life Camp,2026-05-30 13:26:51
4,4 bedrooms,4bdrm Duplex in Katampe Newly Built for rent,16000000,"₦ 16,000,000",Katampe (Main),2026-05-30 13:26:51
3,3 bedrooms,3bdrm Block of Flats in Katampe Standard for rent,5000000,"₦ 5,000,000",Katampe (Main),2026-05-30 13:26:51
4,4 bedrooms,4bdrm Duplex in Guzape District for rent,13000000,"₦ 13,000,000",Guzape District,2026-05-30 13:26:51
3,3 bedrooms,3bdrm Block of Flats in Maitama Property for rent,25000000,"₦ 25,000,000",Maitama,2026-05-30 13:26:51
5,5 bedrooms,Furnished 5bdrm Duplex in Guzape for rent,30000000,"₦ 30,000,000",Guzape District,2026-05-30 13:26:57
1,1 bedroom,"Studio Apartment in Arab Road, Kubwa for rent",1200000,"₦ 1,200,000",Kubwa,2026-05-30 13:26:57
1,1 bedroom,"1bdrm Block of Flats in Hillview Estate, Kubwa for rent",2000000,"₦ 2,000,000",Kubwa,2026-05-30 13:26:57
1,1 bedroom,Studio Apartment in Utako for rent,2000000,"₦ 2,000,000",Utako,2026-05-30 13:26:57
3,3 bedrooms,"3bdrm Duplex in Hillview Estate, Kubwa for rent",4000000,"₦ 4,000,000",Kubwa,2026-05-30 13:26:57
7,7 bedrooms,7bdrm Duplex in Maitama for rent,50000000,"₦ 50,000,000",Maitama,2026-05-30 13:26:57
4,4 bedrooms,4bdrm Duplex in Mabushi for rent,12000000,"₦ 12,000,000",Mabushi,2026-05-30 13:26:57
2,2 bedrooms,2bdrm Block of Flats in Katampe Main for rent,4000000,"₦ 4,000,000",Katampe (Main),2026-05-30 13:26:57
1,1 bedroom,1bdrm Apartment in Kado for rent,2000000,"₦ 2,000,000",Kado,2026-05-30 13:26:57
1,1 bedroom,Furnished 1bdrm Room & Parlour in Garki 2 for rent,4900000,"₦ 4,900,000",Garki 2,2026-05-30 13:26:57
1,1 bedroom,1bdrm Apartment in Apo Resettlement for rent,6000000,"₦ 6,000,000",Apo Resettlement,2026-05-30 13:26:57
4,4 bedrooms,4bdrm Townhouse / Terrace in Guzape for rent,17000000,"₦ 17,000,000",Guzape District,2026-05-30 13:26:57
2,2 bedrooms,2bdrm Apartment in Jabi for rent,7000000,"₦ 7,000,000",Jabi,2026-05-30 13:26:57
3,3 bedrooms,3bdrm Block of Flats in Durumi for rent,5000000,"₦ 5,000,000",Durumi,2026-05-30 13:26:57
4,4 bedrooms,Furnished 4bdrm Townhouse / Terrace in Lugbe District for rent,10000000,"₦ 10,000,000",Lugbe District,2026-05-30 13:26:57
3,3 bedrooms,Furnished 3bdrm Block of Flats in Katampe for rent,5000000,"₦ 5,000,000",Katampe (Main),2026-05-30 13:26:57
6,6 bedrooms,6bdrm Duplex in Maitama for rent,65000000,"₦ 65,000,000",Maitama,2026-05-30 13:26:57
4,4 bedrooms,4bdrm Duplex in Wuye District for rent,15000000,"₦ 15,000,000",Wuye,2026-05-30 13:26:57
4,4 bedrooms,"4bdrm Duplex in Main Gusape, Guzape District for rent",20000000,"₦ 20,000,000",Guzape District,2026-05-30 13:26:57
5,5 bedrooms,5bdrm Duplex in Wuye for rent,30000000,"₦ 30,000,000",Wuye,2026-05-30 13:26:57
4,4 bedrooms,4bdrm Townhouse / Terrace in Main Wuye for rent,15000000,"₦ 15,000,000",Wuye,2026-05-30 13:26:57
5,5 bedrooms,"5bdrm Duplex in Nugget, Mabushi for rent",18000000,"₦ 18,000,000",Mabushi,2026-05-30 13:26:57
2,2 bedrooms,"2bdrm Block of Flats in Nugget, Jahi for rent",5000000,"₦ 5,000,000",Jahi,2026-05-30 13:26:57
4,4 bedrooms,4bdrm Townhouse / Terrace in Apo Resettlement for rent,10000000,"₦ 10,000,000",Apo Resettlement,2026-05-30 13:26:57
4,4 bedrooms,4bdrm Duplex in Guzape District for rent,20000000,"₦ 20,000,000",Guzape District,2026-05-30 13:27:09
4,4 bedrooms,"Furnished 4bdrm Townhouse / Terrace in Jimmy Carter, Asokoro for rent",25000000,"₦ 25,000,000",Asokoro,2026-05-30 13:27:09
5,5 bedrooms,5bdrm Duplex in Maitama for rent,80000000,"₦ 80,000,000",Maitama,2026-05-30 13:27:09
2,2 bedrooms,"Furnished 2bdrm Block of Flats in Sauka New Side, Abaji for rent",2500000,"₦ 2,500,000",Abaji,2026-05-30 13:27:09
4,4 bedrooms,4bdrm Duplex in Mabushi for rent,12000000,"₦ 12,000,000",Mabushi,2026-05-30 13:27:09
6,6 bedrooms,"6bdrm Duplex in Brains Abd Hammer, Apo District for rent",13000000,"₦ 13,000,000",Apo District,2026-05-30 13:27:09
3,3 bedrooms,3bdrm Apartment in Guzape District for rent,10000000,"₦ 10,000,000",Guzape District,2026-05-30 13:27:09
2,2 bedrooms,"2bdrm Bungalow in Efab City, Jabi for rent",5500000,"₦ 5,500,000",Jabi,2026-05-30 13:27:09
3,3 bedrooms,3bdrm Apartment in Guzape for rent,12000000,"₦ 12,000,000",Guzape District,2026-05-30 13:27:09
4,4 bedrooms,4bdrm Townhouse / Terrace in Wuye for rent,20000000,"₦ 20,000,000",Wuye,2026-05-30 13:27:09
1,1 bedroom,Furnished Studio Apartment in Gwarinpa for rent,658750,"₦ 658,750",Gwarinpa,2026-05-30 13:27:09
4,4 bedrooms,4bdrm Mansion in Katampe Extension for rent,20000000,"₦ 20,000,000",Katampe Extension,2026-05-30 13:27:09
3,3 bedrooms,3bdrm Townhouse / Terrace in Main Galadimawa for rent,6500000,"₦ 6,500,000",Galadimawa,2026-05-30 13:27:09
1,1 bedroom,Furnished Studio Apartment in Gwarinpa for rent,922250,"₦ 922,250",Gwarinpa,2026-05-30 13:27:09
3,3 bedrooms,"3bdrm Townhouse / Terrace in Dantata Estate, Kubwa for rent",6000000,"₦ 6,000,000",Kubwa,2026-05-30 13:27:09
4,4 bedrooms,4bdrm Townhouse / Terrace in Guzape District for rent,17000000,"₦ 17,000,000",Guzape District,2026-05-30 13:27:09
1,1 bedroom,"1bdrm Block of Flats in Fo1, Kubwa for rent",2300000,"₦ 2,300,000",Kubwa,2026-05-30 13:27:09
1,1 bedroom,1bdrm Apartment in Jahi for rent,6000000,"₦ 6,000,000",Jahi,2026-05-30 13:27:09
4,4 bedrooms,4bdrm Duplex in Mabushi for rent,12000000,"₦ 12,000,000",Mabushi,2026-05-30 13:27:09
4,4 bedrooms,4bdrm Townhouse / Terrace in Wuse for rent,19999999,"₦ 19,999,999",Wuse,2026-05-30 13:27:09
3,3 bedrooms,"3bdrm Block of Flats in Justice Estate, Gwarinpa for rent",3500000,"₦ 3,500,000",Gwarinpa,2026-05-30 13:27:09
2,2 bedrooms,Furnished 2bdrm Apartment in Sabon Lugbe for rent,8500000,"₦ 8,500,000",Sabon Lugbe,2026-05-30 13:27:09
3,3 bedrooms,"3bdrm Bungalow in Efab Queens, Gwarinpa for rent",8000000,"₦ 8,000,000",Gwarinpa,2026-05-30 13:27:09
4,4 bedrooms,4bdrm Duplex in Jahi Gilmore Fct for rent,18000000,"₦ 18,000,000",Jahi,2026-05-30 13:27:09
1,1 bedroom,"1bdrm Block of Flats in News Engineering, Dawaki for rent",2800000,"₦ 2,800,000",Dawaki,2026-05-30 13:27:17
3,3 bedrooms,"3bdrm Block of Flats in Pries Estate, Galadimawa for rent",3800000,"₦ 3,800,000",Galadimawa,2026-05-30 13:27:17
3,3 bedrooms,"3bdrm Block of Flats in E, Wuye for rent",8000000,"₦ 8,000,000",Wuye,2026-05-30 13:27:17
4,4 bedrooms,"Furnished 4bdrm Duplex in Levi Estate, Galadimawa for rent",8000000,"₦ 8,000,000",Galadimawa,2026-05-30 13:27:17
4,4 bedrooms,Furnished 4bdrm Townhouse / Terrace in Wuye for rent,25000000,"₦ 25,000,000",Wuye,2026-05-30 13:27:17
5,5 bedrooms,5bdrm Townhouse / Terrace in Asokoro Main for rent,25000000,"₦ 25,000,000",Asokoro,2026-05-30 13:27:17
1,1 bedroom,Furnished 1bdrm Apartment in Gwarinpa for rent,658750,"₦ 658,750",Gwarinpa,2026-05-30 13:27:17
4,4 bedrooms,"4bdrm Duplex in Jahi Gilmore,Fct for rent",15000000,"₦ 15,000,000",Jahi,2026-05-30 13:27:17
5,5 bedrooms,Furnished 5bdrm Mansion in Maitama for rent,90000000,"₦ 90,000,000",Maitama,2026-05-30 13:27:17
2,2 bedrooms,"2bdrm Townhouse / Terrace in Hill Field Homes, Dawaki for rent",5000000,"₦ 5,000,000",Dawaki,2026-05-30 13:27:17
4,4 bedrooms,4bdrm Bungalow in Kado for rent,8000000,"₦ 8,000,000",Kado,2026-05-30 13:27:17
4,4 bedrooms,4bdrm Duplex in Asokoro for rent,40000000,"₦ 40,000,000",Asokoro,2026-05-30 13:27:17
3,3 bedrooms,"3bdrm Block of Flats in Gwarimpa, Gwarinpa for rent",7000000,"₦ 7,000,000",Gwarinpa,2026-05-30 13:27:17
1,1 bedroom,Furnished Studio Apartment in Gwarinpa for rent,922250,"₦ 922,250",Gwarinpa,2026-05-30 13:27:17
5,5 bedrooms,"5bdrm Duplex in Gwarimpa Estate, Gwarinpa for rent",15000000,"₦ 15,000,000",Gwarinpa,2026-05-30 13:27:17
3,3 bedrooms,"3bdrm Bungalow in Efab Version,By, Gwarinpa for rent",7000000,"₦ 7,000,000",Gwarinpa,2026-05-30 13:27:17
3,3 bedrooms,"3bdrm Townhouse / Terrace in Dantata Estate, Kubwa for rent",6000000,"₦ 6,000,000",Kubwa,2026-05-30 13:27:17
3,3 bedrooms,Furnished 3bdrm Apartment in Jahi for rent,25000000,"₦ 25,000,000",Jahi,2026-05-30 13:27:17
4,4 bedrooms,4bdrm Townhouse / Terrace in Guzape District for rent,17000000,"₦ 17,000,000",Guzape District,2026-05-30 13:27:17
7,7 bedrooms,7bdrm Duplex in Guzape Main for rent,45000000,"₦ 45,000,000",Guzape District,2026-05-30 13:27:17
1,1 bedroom,1bdrm Apartment in Jahi for rent,6000000,"₦ 6,000,000",Jahi,2026-05-30 13:27:17
4,4 bedrooms,4bdrm Townhouse / Terrace in Maitama for rent,35000000,"₦ 35,000,000",Maitama,2026-05-30 13:27:17
1,1 bedroom,"1bdrm Block of Flats in Fo1, Kubwa for rent",2300000,"₦ 2,300,000",Kubwa,2026-05-30 13:27:17
4,4 bedrooms,4bdrm Duplex in Guzape Main for rent,15000000,"₦ 15,000,000",Guzape District,2026-05-30 13:27:17
3,3 bedrooms,3bdrm Townhouse / Terrace in Jahi for rent,10000000,"₦ 10,000,000",Jahi,2026-05-30 13:27:26
5,5 bedrooms,5bdrm Duplex in Maitama for rent,50000000,"₦ 50,000,000",Maitama,2026-05-30 13:27:26
2,2 bedrooms,2bdrm Block of Flats in Dawaki for rent,3000000,"₦ 3,000,000",Dawaki,2026-05-30 13:27:26
6,6 bedrooms,6bdrm House in Guzape District for rent,30000000,"₦ 30,000,000",Guzape District,2026-05-30 13:27:26
3,3 bedrooms,3bdrm Block of Flats in Maitama for rent,10000000,"₦ 10,000,000",Maitama,2026-05-30 13:27:26
4,4 bedrooms,4bdrm Duplex in Wuye for rent,16000000,"₦ 16,000,000",Wuye,2026-05-30 13:27:26
3,3 bedrooms,"3bdrm Bungalow in Gwarimpa Estate,Fct, Gwarinpa for rent",9000000,"₦ 9,000,000",Gwarinpa,2026-05-30 13:27:26
4,4 bedrooms,"4bdrm Bungalow in Gwarimpa Extension, Gwarinpa for rent",10000000,"₦ 10,000,000",Gwarinpa,2026-05-30 13:27:26
2,2 bedrooms,2bdrm Apartment in Lokogoma for rent,3999999,"₦ 3,999,999",Lokogoma,2026-05-30 13:27:26
1,1 bedroom,"Mini Flat in Efab Metropolis, Karsana for rent",2000000,"₦ 2,000,000",Karsana,2026-05-30 13:27:26
3,3 bedrooms,3bdrm Apartment in Maitama for rent,17000000,"₦ 17,000,000",Maitama,2026-05-30 13:27:26
3,3 bedrooms,3bdrm Apartment in Apo Resettlement for rent,7500000,"₦ 7,500,000",Apo Resettlement,2026-05-30 13:27:26
4,4 bedrooms,4bdrm Townhouse / Terrace in Gudu for rent,12000000,"₦ 12,000,000",Gudu,2026-05-30 13:27:26
3,3 bedrooms,3bdrm Block of Flats in Katampe for rent,10000000,"₦ 10,000,000",Katampe,2026-05-30 13:27:26
2,2 bedrooms,"Furnished 2bdrm Apartment in Auta Ibrahim Street, Wuye for rent",4000000,"₦ 4,000,000",Wuye,2026-05-30 13:27:26
2,2 bedrooms,"Furnished 2bdrm Block of Flats in Gwarimpa Estate,Fct, Gwarinpa",200000,"₦ 200,000",Gwarinpa,2026-05-30 13:27:26
5,5 bedrooms,5bdrm Townhouse / Terrace in Katampe (Main) for rent,15000000,"₦ 15,000,000",Katampe (Main),2026-05-30 13:27:26
2,2 bedrooms,"2bdrm Bungalow in Efab City, Jabi for rent",5500000,"₦ 5,500,000",Jabi,2026-05-30 13:27:26
3,3 bedrooms,"Furnished 3bdrm Bungalow in Valley City Estate, Kaura for rent",6000000,"₦ 6,000,000",Kaura,2026-05-30 13:27:26
3,3 bedrooms,"3bdrm Block of Flats in Pries Estate, Galadimawa for rent",3800000,"₦ 3,800,000",Galadimawa,2026-05-30 13:27:26
4,4 bedrooms,4bdrm Duplex in Gaduwa for rent,7999999,"₦ 7,999,999",Gaduwa,2026-05-30 13:27:26
3,3 bedrooms,"Furnished 3bdrm Block of Flats in F01, Kubwa for rent",3800000,"₦ 3,800,000",Kubwa,2026-05-30 13:27:26
4,4 bedrooms,4bdrm Townhouse / Terrace in Jahi for rent,18000000,"₦ 18,000,000",Jahi,2026-05-30 13:27:26
4,4 bedrooms,4bdrm Duplex in Lugbe for rent,8000000,"₦ 8,000,000",Lugbe District,2026-05-30 13:27:26
3,3 bedrooms,3bdrm Block of Flats in Katampe for rent,10000000,"₦ 10,000,000",Katampe,2026-05-30 13:27:33
2,2 bedrooms,"Furnished 2bdrm Apartment in Auta Ibrahim Street, Wuye for rent",4000000,"₦ 4,000,000",Wuye,2026-05-30 13:27:33
1,1 bedroom,"Furnished 1bdrm Block of Flats in Freedom Avenue, Dutse-Alhaji for rent",1500000,"₦ 1,500,000",Dutse-Alhaji,2026-05-30 13:27:33
4,4 bedrooms,"4bdrm Bungalow in Redeemers Estate, Pyakasa for rent",5000000,"₦ 5,000,000",Pyakasa,2026-05-30 13:27:33
2,2 bedrooms,"2bdrm Block of Flats in Sauka Newsite Estate, FHA for rent",2500000,"₦ 2,500,000",FHA,2026-05-30 13:27:33
4,4 bedrooms,4bdrm Duplex in Jahi for rent,10000000,"₦ 10,000,000",Jahi,2026-05-30 13:27:33
3,3 bedrooms,3bdrm Apartment in Apo District for rent,10000000,"₦ 10,000,000",Apo District,2026-05-30 13:27:33
1,1 bedroom,"Studio Apartment in Freedom Avenue, Dutse-Alhaji for rent",600000,"₦ 600,000",Dutse-Alhaji,2026-05-30 13:27:33
4,4 bedrooms,4bdrm Townhouse / Terrace in Jahi for rent,18000000,"₦ 18,000,000",Jahi,2026-05-30 13:27:33
3,3 bedrooms,3bdrm Block of Flats in Wuse 2 for rent,15000000,"₦ 15,000,000",Wuse 2,2026-05-30 13:27:33
4,4 bedrooms,4bdrm Duplex in Lugbe for rent,8000000,"₦ 8,000,000",Lugbe District,2026-05-30 13:27:33
4,4 bedrooms,4bdrm Duplex in Asokoro for rent,40000000,"₦ 40,000,000",Asokoro,2026-05-30 13:27:33
4,4 bedrooms,4bdrm Duplex in Mabushi for rent,15000000,"₦ 15,000,000",Mabushi,2026-05-30 13:27:33
3,3 bedrooms,Furnished 3bdrm Apartment in Jahi for rent,25000000,"₦ 25,000,000",Jahi,2026-05-30 13:27:33
2,2 bedrooms,Furnished 2bdrm Apartment in Jahi for rent,22000000,"₦ 22,000,000",Jahi,2026-05-30 13:27:33
3,3 bedrooms,3bdrm Block of Flats in Wuye for rent,12000000,"₦ 12,000,000",Wuye,2026-05-30 13:27:33
3,3 bedrooms,Furnished 3bdrm Apartment in Wuse 2 for rent,45000000,"₦ 45,000,000",Wuse 2,2026-05-30 13:27:33
2,2 bedrooms,2bdrm Apartment in Wuse 2 for rent,20000000,"₦ 20,000,000",Wuse 2,2026-05-30 13:27:33
1,1 bedroom,Furnished 1bdrm Apartment in Apo District for rent,700000,"₦ 700,000",Apo District,2026-05-30 13:27:33
4,4 bedrooms,4bdrm Townhouse / Terrace in Mabushi for rent,12000000,"₦ 12,000,000",Mabushi,2026-05-30 13:27:33
4,4 bedrooms,Furnished 4bdrm Townhouse / Terrace in Maitama for rent,50000000,"₦ 50,000,000",Maitama,2026-05-30 13:27:33
2,2 bedrooms,Furnished 2bdrm Apartment in Jahi for rent,15000000,"₦ 15,000,000",Jahi,2026-05-30 13:27:33
1,1 bedroom,"Furnished 1bdrm Shared Apartment in Aston Luxury, Apo District for rent",600000,"₦ 600,000",Apo District,2026-05-30 13:27:33
4,4 bedrooms,4bdrm Duplex in Katampe Extension for rent,25000000,"₦ 25,000,000",Katampe Extension,2026-05-30 13:27:33
1,1 bedroom,Furnished 1bdrm Apartment in Garki Area 8 for rent,15000000,"₦ 15,000,000",Area 8,2026-05-30 13:27:39
5,5 bedrooms,"5bdrm Duplex in Kyc Estate, Sabon Lugbe for rent",10000000,"₦ 10,000,000",Sabon Lugbe,2026-05-30 13:27:39
4,4 bedrooms,4bdrm Townhouse / Terrace in Maitama for rent,40000000,"₦ 40,000,000",Maitama,2026-05-30 13:27:39
6,6 bedrooms,6bdrm Duplex in Jabi for rent,55000000,"₦ 55,000,000",Jabi,2026-05-30 13:27:39
3,3 bedrooms,3bdrm Block of Flats in Katampe Main for rent,9000000,"₦ 9,000,000",Katampe (Main),2026-05-30 13:27:39
2,2 bedrooms,Furnished 2bdrm Apartment in Jahi for rent,19000000,"₦ 19,000,000",Jahi,2026-05-30 13:27:39
3,3 bedrooms,3bdrm Apartment in Guzape District for rent,12000000,"₦ 12,000,000",Guzape District,2026-05-30 13:27:39
6,6 bedrooms,6bdrm Duplex in Guzape District for rent,30000000,"₦ 30,000,000",Guzape District,2026-05-30 13:27:39
3,3 bedrooms,3bdrm Block of Flats in Apdc Estate Kubwa for rent,4000000,"₦ 4,000,000",Kubwa,2026-05-30 13:27:39
3,3 bedrooms,3bdrm Apartment in Jabi for rent,7000000,"₦ 7,000,000",Jabi,2026-05-30 13:27:39
3,3 bedrooms,3bdrm Block of Flats in Wuye for rent,5500000,"₦ 5,500,000",Wuye,2026-05-30 13:27:39
3,3 bedrooms,3bdrm Apartment in Wuye for rent,8000000,"₦ 8,000,000",Wuye,2026-05-30 13:27:39
4,4 bedrooms,4bdrm Apartment in Guzape District for rent,25000000,"₦ 25,000,000",Guzape District,2026-05-30 13:27:39
1,1 bedroom,Furnished Studio Apartment in Garki 2 for rent,2900000,"₦ 2,900,000",Garki 2,2026-05-30 13:27:39
3,3 bedrooms,"Furnished 3bdrm Duplex in Aso Villa, Asokoro for rent",50000000,"₦ 50,000,000",Asokoro,2026-05-30 13:27:39
5,5 bedrooms,5bdrm Duplex in Maitama for rent,65000000,"₦ 65,000,000",Maitama,2026-05-30 13:27:39
4,4 bedrooms,4bdrm Penthouse in Mabushi for rent,12000000,"₦ 12,000,000",Mabushi,2026-05-30 13:27:39
3,3 bedrooms,3bdrm Block of Flats in Durumi for rent,5000000,"₦ 5,000,000",Durumi,2026-05-30 13:27:39
3,3 bedrooms,3bdrm Block of Flats in Guzape for rent,9000000,"₦ 9,000,000",Guzape District,2026-05-30 13:27:39
4,4 bedrooms,4bdrm Duplex in Guzape District for rent,15000000,"₦ 15,000,000",Guzape District,2026-05-30 13:27:39
6,6 bedrooms,6bdrm Duplex in Maitama for rent,80000000,"₦ 80,000,000",Maitama,2026-05-30 13:27:39
3,3 bedrooms,3bdrm Block of Flats in Katampe  Main for rent,7500000,"₦ 7,500,000",Katampe (Main),2026-05-30 13:27:39
3,3 bedrooms,Furnished 3bdrm House in Jahi for rent,20000000,"₦ 20,000,000",Jahi,2026-05-30 13:27:39
3,3 bedrooms,"3bdrm Bungalow in Nuggy, Jahi for rent",6500000,"₦ 6,500,000",Jahi,2026-05-30 13:27:39
4,4 bedrooms,4bdrm Duplex in Guzape District for rent,12000000,"₦ 12,000,000",Guzape District,2026-05-30 13:27:45
4,4 bedrooms,4bdrm Townhouse / Terrace in Galadimawa for rent,8000000,"₦ 8,000,000",Galadimawa,2026-05-30 13:27:45
2,2 bedrooms,2bdrm Block of Flats in Katampe for rent,5500000,"₦ 5,500,000",Katampe (Main),2026-05-30 13:27:45
1,1 bedroom,Studio Apartment in Utako for rent,2000000,"₦ 2,000,000",Utako,2026-05-30 13:27:45
3,3 bedrooms,3bdrm Apartment in Jabi for rent,8000000,"₦ 8,000,000",Jabi,2026-05-30 13:27:45
4,4 bedrooms,4bdrm Duplex in Jahi for rent,15000000,"₦ 15,000,000",Jahi,2026-05-30 13:27:45
4,4 bedrooms,4bdrm Townhouse / Terrace in Wuye for rent,20000000,"₦ 20,000,000",Wuye,2026-05-30 13:27:45
4,4 bedrooms,4bdrm Duplex in Mabushi for rent,17000000,"₦ 17,000,000",Mabushi,2026-05-30 13:27:45
4,4 bedrooms,4bdrm Duplex in Katampe Extension for rent,20000000,"₦ 20,000,000",Katampe Extension,2026-05-30 13:27:45
4,4 bedrooms,4bdrm Townhouse / Terrace in Guzape for rent,15000000,"₦ 15,000,000",Guzape District,2026-05-30 13:27:45
4,4 bedrooms,4bdrm Duplex in Maitama Main for rent,30000000,"₦ 30,000,000",Maitama,2026-05-30 13:27:45
4,4 bedrooms,4bdrm Townhouse / Terrace in Maitama for rent,50000000,"₦ 50,000,000",Maitama,2026-05-30 13:27:45
4,4 bedrooms,4bdrm Duplex in Guzape for rent,15000000,"₦ 15,000,000",Guzape District,2026-05-30 13:27:45
4,4 bedrooms,4bdrm Townhouse / Terrace in Katampe Main for rent,15000000,"₦ 15,000,000",Katampe (Main),2026-05-30 13:27:45
4,4 bedrooms,"Furnished 4bdrm Townhouse / Terrace in Jimmy Carter, Asokoro for rent",25000000,"₦ 25,000,000",Asokoro,2026-05-30 13:27:45
1,1 bedroom,Furnished 1bdrm Apartment in Katampe Main for rent,6000000,"₦ 6,000,000",Katampe (Main),2026-05-30 13:27:45
1,1 bedroom,Furnished Studio Apartment in Gwarinpa for rent,450000,"₦ 450,000",Gwarinpa,2026-05-30 13:27:45
2,2 bedrooms,"2bdrm Block of Flats in Trans Engineering, Dawaki for rent",6000000,"₦ 6,000,000",Dawaki,2026-05-30 13:27:45
2,2 bedrooms,"2bdrm Block of Flats in Along Jedo, Sabon Lugbe for rent",3500000,"₦ 3,500,000",Sabon Lugbe,2026-05-30 13:27:45
2,2 bedrooms,"Furnished 2bdrm Block of Flats in Villa, Asokoro for rent",35000000,"₦ 35,000,000",Asokoro,2026-05-30 13:27:45
2,2 bedrooms,"2bdrm Block of Flats in Fortune Estate, Jahi for rent",8000000,"₦ 8,000,000",Jahi,2026-05-30 13:27:45
2,2 bedrooms,"2bdrm Apartment in F14, Kubwa for rent",2500000,"₦ 2,500,000",Kubwa,2026-05-30 13:27:45
3,3 bedrooms,3bdrm Block of Flats in Mabushi Main for rent,9000000,"₦ 9,000,000",Mabushi,2026-05-30 13:27:45
1,1 bedroom,1bdrm Block of Flats in Dawaki for rent,2000000,"₦ 2,000,000",Dawaki,2026-05-30 13:27:45
4,4 bedrooms,4bdrm Block of Flats in Maitama for rent,50000000,"₦ 50,000,000",Maitama,2026-05-30 13:27:50
6,6 bedrooms,"6bdrm Duplex in Brains Abd Hammer, Apo District for rent",13000000,"₦ 13,000,000",Apo District,2026-05-30 13:27:50
4,4 bedrooms,4bdrm Duplex in Mabushi for rent,12000000,"₦ 12,000,000",Mabushi,2026-05-30 13:27:50
1,1 bedroom,Studio Apartment in Utako for rent,2000000,"₦ 2,000,000",Utako,2026-05-30 13:27:50
2,2 bedrooms,Furnished 2bdrm Duplex in Lugbe District for rent,6000000,"₦ 6,000,000",Lugbe District,2026-05-30 13:27:50
4,4 bedrooms,Furnished 4bdrm Duplex in Lugbe District for rent,9000000,"₦ 9,000,000",Lugbe District,2026-05-30 13:27:50
3,3 bedrooms,3bdrm Apartment in Guzape District for rent,10000000,"₦ 10,000,000",Guzape District,2026-05-30 13:27:50
1,1 bedroom,Furnished Studio Apartment in Gwarinpa for rent,1054000,"₦ 1,054,000",Gwarinpa,2026-05-30 13:27:50
2,2 bedrooms,Furnished 2bdrm Block of Flats in Asokoro for rent,15000000,"₦ 15,000,000",Asokoro,2026-05-30 13:27:50
2,2 bedrooms,2bdrm Duplex in Guzape for rent,9000000,"₦ 9,000,000",Guzape District,2026-05-30 13:27:50
4,4 bedrooms,Furnished 4bdrm Duplex in Utako for rent,30000000,"₦ 30,000,000",Utako,2026-05-30 13:27:50
4,4 bedrooms,4bdrm Duplex in Katampe for rent,18000000,"₦ 18,000,000",Katampe Extension,2026-05-30 13:27:50
4,4 bedrooms,"4bdrm Duplex in Gwarimpa Estate, Gwarinpa for rent",12000000,"₦ 12,000,000",Gwarinpa,2026-05-30 13:27:50
3,3 bedrooms,"3bdrm Block of Flats in E, Wuye for rent",8000000,"₦ 8,000,000",Wuye,2026-05-30 13:27:50
5,5 bedrooms,5bdrm Townhouse / Terrace in Asokoro Main for rent,25000000,"₦ 25,000,000",Asokoro,2026-05-30 13:27:50
2,2 bedrooms,2bdrm Bungalow in Lugbe District for rent,4000000,"₦ 4,000,000",Lugbe District,2026-05-30 13:27:50
4,4 bedrooms,4bdrm Townhouse / Terrace in Maitama for rent,20000000,"₦ 20,000,000",Maitama,2026-05-30 13:27:50
5,5 bedrooms,Furnished 5bdrm Mansion in Maitama for rent,90000000,"₦ 90,000,000",Maitama,2026-05-30 13:27:50
4,4 bedrooms,"4bdrm Duplex in Jahi Gilmore,Fct for rent",15000000,"₦ 15,000,000",Jahi,2026-05-30 13:27:50
1,1 bedroom,Furnished 1bdrm Apartment in Gwarinpa for rent,658750,"₦ 658,750",Gwarinpa,2026-05-30 13:27:50
4,4 bedrooms,4bdrm Bungalow in Kado for rent,8000000,"₦ 8,000,000",Kado,2026-05-30 13:27:50
