Property Category,Price (Per Annum),Location,Scraped_At
Self contain (single rooms) for rent,"₦650,000","Close To Kabusa Gardens Estate Along Sunnyvale Junction Road, Lokogoma District, Abuja",2026-06-01 11:07:15
3 bedroom detached bungalow for rent,"₦5,000,000","Efab Sunshine Apo Wasa After Primary, Apo, Abuja",2026-06-01 11:07:15
3 bedroom house for rent,"₦11,000,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:07:15
4 bedroom terraced duplex for rent,"₦17,000,000","Jahi Gilmore, Jahi, Abuja",2026-06-01 11:07:15
3 bedroom flat / apartment for rent,"₦7,500,000","Jahi, Abuja",2026-06-01 11:07:15
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja",2026-06-01 11:07:15
2 bedroom flat / apartment for rent,"₦4,500,000","Jahi, Abuja",2026-06-01 11:07:15
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:07:22
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo Abuja, Apo, Abuja",2026-06-01 11:07:22
2 bedroom flat / apartment for rent,"₦6,000,000","Inside A Well Secured Estate In Apo Nepa By Cedercrest Hospital, Apo, Abuja",2026-06-01 11:07:22
4 bedroom semi-detached duplex for rent,"₦11,000,000","Gudu, Abuja",2026-06-01 11:07:22
2 bedroom flat / apartment for rent,"₦6,000,000","Jabi, Abuja",2026-06-01 11:07:22
Self contain (single rooms) for rent,"₦1,000,000","Seman Estate Behind Dunamis Church, Lugbe, Lugbe District, Abuja",2026-06-01 11:07:22
5 bedroom detached duplex for rent,"₦15,000,000","Citygate Estate, Kukwaba, Abuja",2026-06-01 11:07:22
3 bedroom flat / apartment for rent,"₦9,000,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:07:22
2 bedroom flat / apartment for rent,"₦5,000,000","Katampe, Abuja",2026-06-01 11:07:22
3 bedroom flat / apartment for rent,"₦15,000,000","Guzape District, Abuja",2026-06-01 11:07:22
3 bedroom flat / apartment for rent,"₦10,000,000","Wuse 2, Abuja",2026-06-01 11:07:22
4 bedroom detached duplex for rent,"₦10,000,000","Estate Tarred Road Near Main Road, Lokogoma District, Abuja",2026-06-01 11:07:22
3 bedroom flat / apartment for rent,"₦9,500,000","In A Secured Estate, Guzape District, Abuja",2026-06-01 11:07:22
4 bedroom terraced duplex for rent,"₦20,000,000","Guzape District, Abuja",2026-06-01 11:07:22
5 bedroom terraced duplex for rent,"₦35,000,000","Guzape District, Abuja",2026-06-01 11:07:22
5 bedroom terraced duplex for rent,"₦30,000,000","Guzape District, Abuja",2026-06-01 11:07:22
5 bedroom detached duplex for rent,"₦18,000,000","Godab Estate, Life Camp, Abuja",2026-06-01 11:07:22
5 bedroom detached duplex for rent,"₦12,000,000","4th Avenue, Gwarinpa, Abuja",2026-06-01 11:07:22
3 bedroom detached duplex for rent,"₦15,000,000","Jabi Main, Jabi, Abuja",2026-06-01 11:07:22
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja",2026-06-01 11:07:22
4 bedroom detached duplex for rent,"₦10,000,000","Lokogoma District, Abuja",2026-06-01 11:07:22
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja",2026-06-01 11:07:29
Shop for rent,"₦5,000,000","Gwarinpa, Abuja",2026-06-01 11:07:29
4 bedroom terraced duplex for rent,"₦9,000,000","Peachville Estate, Beside Kingscourt Estate, Dakibiyu, Jabi, Abuja",2026-06-01 11:07:29
3 bedroom flat / apartment for rent,"₦7,500,000","Jahi, Abuja",2026-06-01 11:07:29
3 bedroom terraced duplex for rent,"₦20,000,000","Maitama District, Abuja",2026-06-01 11:07:29
7 bedroom semi-detached duplex for rent,"₦30,000,000","By Next Mall, Kado, Abuja",2026-06-01 11:07:29
Self contain (single rooms) for rent,"₦3,000,000","Katampe Extension, Katampe, Abuja",2026-06-01 11:07:29
Self contain (single rooms) for rent,"₦1,500,000","Efab Estate, Lokogoma District, Abuja",2026-06-01 11:07:29
1 bedroom mini flat (room and parlour) for rent,"₦1,700,000","Living Faith Axis, Lugbe District, Abuja",2026-06-01 11:07:29
2 bedroom flat / apartment for rent,"₦3,500,000","News Engineering Dawaki, Dawaki, Gwarinpa, Abuja",2026-06-01 11:07:29
4 bedroom terraced duplex for rent,"₦30,000,000","Jabi, Abuja",2026-06-01 11:07:29
4 bedroom flat / apartment for rent,"₦15,000,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:07:29
4 bedroom flat / apartment for rent,"₦15,000,000","Jahi, Abuja",2026-06-01 11:07:29
2 bedroom flat / apartment for rent,"₦6,500,000","Wuye Main(tarred Rd), Wuye, Abuja",2026-06-01 11:07:29
1 bedroom mini flat (room and parlour) for rent,"₦3,700,000","Queens Estate Gwarinpa Extension, Gwarinpa, Abuja",2026-06-01 11:07:29
4 bedroom terraced duplex for rent,"₦25,000,000","Jabi, Abuja",2026-06-01 11:07:29
4 bedroom terraced duplex for rent,"₦8,500,000","By National Assembly Quarters, Gudu, Abuja",2026-06-01 11:07:29
1 bedroom mini flat (room and parlour) for rent,"₦2,500,000","Kugbo Gra ,along Nyanya Road., Asokoro District, Abuja",2026-06-01 11:07:29
4 bedroom semi-detached duplex for rent,"₦20,000,000","Admiralty Estate, Asokoro District, Abuja",2026-06-01 11:07:29
5 bedroom detached duplex for rent,"₦50,000,000","Asokoro District, Abuja",2026-06-01 11:07:29
2 bedroom flat / apartment for rent,"₦12,000,000","Wuse 2, Abuja",2026-06-01 11:07:29
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:07:38
1 bedroom flat / apartment for rent,"₦4,000,000","News Engineering, Dawaki, Gwarinpa, Abuja",2026-06-01 11:07:38
2 bedroom flat / apartment for rent,"₦5,000,000","River Park Estate, Lugbe District, Abuja",2026-06-01 11:07:38
Self contain (single rooms) for rent,"₦1,800,000","Inside Estate Galadimawa, Galadimawa, Abuja",2026-06-01 11:07:38
1 bedroom flat / apartment for rent,"₦3,000,000","Katampe Extension, Katampe, Abuja",2026-06-01 11:07:38
5 bedroom terraced duplex for rent,"₦25,000,000","Guzape Main, Guzape District, Abuja",2026-06-01 11:07:38
2 bedroom flat / apartment for rent,"₦5,500,000","By American  Intâl School, Durumi, Abuja",2026-06-01 11:07:38
3 bedroom terraced duplex for rent,"₦15,000,000","Jabi, Abuja",2026-06-01 11:07:38
3 bedroom flat / apartment for rent,"₦1,500,000","Life Camp, Life Camp, Abuja",2026-06-01 11:07:38
3 bedroom flat / apartment for rent,"₦7,500,000","Jahi, Jahi, Abuja",2026-06-01 11:07:38
2 bedroom terraced duplex for rent,"₦3,000,000","Crd Iron Bridge, FHA (F.H.A), Lugbe District, Abuja",2026-06-01 11:07:38
3 bedroom flat / apartment for rent,"₦7,000,000","Guzape District, Abuja",2026-06-01 11:07:38
3 bedroom terraced duplex for rent,"₦15,000,000","Jabi, Abuja",2026-06-01 11:07:38
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo Abuja, Apo, Abuja",2026-06-01 11:07:38
3 bedroom flat / apartment for rent,"₦7,000,000","Plot 1274 Ahmed Isah Yuguda Street, Guzape District, Abuja",2026-06-01 11:07:38
1 bedroom mini flat (room and parlour) for rent,"₦2,000,000","Von Axis, Lugbe District, Abuja",2026-06-01 11:07:38
3 bedroom flat / apartment for rent,"₦8,000,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:07:38
3 bedroom detached bungalow for rent,"₦5,000,000","Few Minutes Away From Same Global, Galadimawa, Abuja",2026-06-01 11:07:38
3 bedroom detached duplex for rent,"₦4,500,000","Few Minutes Away From Kabusa Garden Estate, Galadimawa, Abuja",2026-06-01 11:07:38
2 bedroom semi-detached bungalow for rent,"₦4,500,000","Few Minutes Away From Kabusa Garden Estate, Galadimawa, Abuja",2026-06-01 11:07:38
5 bedroom terraced duplex for rent,"₦19,000,000","Katampe Extension, Katampe, Abuja",2026-06-01 11:07:38
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja",2026-06-01 11:07:46
4 bedroom detached duplex for rent,"₦20,000,000","Asokoro District, Abuja",2026-06-01 11:07:46
Conference / meeting / training room for rent,"₦350,000","Maitama District, Abuja",2026-06-01 11:07:46
Office space for rent,"₦35,000,000","By Akara Cafe, Zone 5, Wuse, Abuja",2026-06-01 11:07:46
3 bedroom flat / apartment for rent,"₦25,000,000","Off Ibb Way, Maitama District, Abuja",2026-06-01 11:07:46
4 bedroom terraced duplex for rent,"₦8,000,000","Ncdc, Gaduwa, Abuja",2026-06-01 11:07:46
4 bedroom detached duplex for rent,"₦10,000,000","River Park Estate, Lugbe District, Abuja",2026-06-01 11:07:46
3 bedroom flat / apartment for rent,"₦8,000,000","Gwarinpa, Abuja",2026-06-01 11:07:46
