Property Category,Price (Per Annum),Location,Scraped_At
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja",2026-06-01 11:10:13
1 bedroom mini flat (room and parlour) for rent,"₦8,000,000","Uptown Apartments, Katampe, Abuja",2026-06-01 11:10:13
1 bedroom mini flat (room and parlour) for rent,"₦4,500,000","Brick City Estate, Kubwa, Abuja",2026-06-01 11:10:13
Self contain (single rooms) for rent,"₦3,000,000","Works And Housing Estate, Karu, Abuja",2026-06-01 11:10:13
1 bedroom flat / apartment for rent,"₦4,500,000","Phase 3, Kubwa, Abuja",2026-06-01 11:10:13
1 bedroom mini flat (room and parlour) for rent,"₦3,500,000","Brick City Estate, Kubwa, Abuja",2026-06-01 11:10:13
2 bedroom house for rent,"₦10,000,000","Lugbe District, Abuja",2026-06-01 11:10:13
1 bedroom mini flat (room and parlour) for rent,"₦2,500,000","Lugbe District, Abuja",2026-06-01 11:10:13
3 bedroom flat / apartment for rent,"₦11,000,000","Katampe, Katampe, Abuja",2026-06-01 11:10:13
3 bedroom flat / apartment for rent,"₦7,000,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:10:13
3 bedroom flat / apartment for rent,"₦11,000,000","Katampe, Abuja",2026-06-01 11:10:13
1 bedroom mini flat (room and parlour) for rent,"₦6,000,000","By Capital Hub, Mabushi, Abuja",2026-06-01 11:10:13
4 bedroom terraced duplex for rent,"₦9,000,000","Extension Mpape, Maitama 2, Maitama District, Abuja",2026-06-01 11:10:13
5 bedroom detached duplex for rent,"₦60,000,000","Asokoro District, Abuja",2026-06-01 11:10:13
3 bedroom flat / apartment for rent,"₦7,000,000","By American International, Durumi, Abuja",2026-06-01 11:10:13
3 bedroom flat / apartment for rent,"₦6,000,000","News Engineering, Dawaki, Gwarinpa, Abuja",2026-06-01 11:10:13
4 bedroom terraced duplex for rent,"₦13,000,000","By Lifecamp Junction., Life Camp, Abuja",2026-06-01 11:10:13
2 bedroom flat / apartment for rent,"₦6,000,000","Main, Wuye, Abuja",2026-06-01 11:10:13
3 bedroom flat / apartment for rent,"₦10,000,000","By Gilmore, Jahi, Abuja",2026-06-01 11:10:13
2 bedroom flat / apartment for rent,"₦3,500,000","Idu Industrial, Abuja",2026-06-01 11:10:13
3 bedroom house for rent,"$30,000","Asokoro Main, Asokoro District, Abuja",2026-06-01 11:10:13
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:10:18
5 bedroom flat / apartment for rent,"₦35,000,000","Kado, Abuja",2026-06-01 11:10:18
5 bedroom detached duplex for rent,"₦75,000,000","Maitama District, Abuja",2026-06-01 11:10:18
4 bedroom terraced duplex for rent,"₦20,000,000","3rd Avenue, Gwarinpa, Abuja",2026-06-01 11:10:18
Plaza / complex / mall for rent,"₦2,500,000","Area 2, Garki, Abuja",2026-06-01 11:10:18
4 bedroom terraced duplex for rent,"₦10,000,000","Rockvale Manor Estate, After  Cedarcrest Hospital, Gudu, Abuja",2026-06-01 11:10:18
3 bedroom house for rent,"₦15,000,000","Foreign Affairs Qautars, Maitama District, Abuja",2026-06-01 11:10:18
5 bedroom house for rent,"₦3,500,000","Arab Road, Kubwa, Abuja",2026-06-01 11:10:18
Plaza / complex / mall for rent,"₦16,500,000","Gwarinpa, Abuja",2026-06-01 11:10:18
Office space for rent,"₦150,000","Zone 5, Wuse, Abuja",2026-06-01 11:10:18
2 bedroom flat / apartment for rent,"₦3,500,000","FO1 Layout, Kubwa, Abuja",2026-06-01 11:10:18
2 bedroom flat / apartment for rent,"₦3,500,000","FO1 Layout, Kubwa, Abuja",2026-06-01 11:10:18
2 bedroom flat / apartment for rent,"₦3,500,000","Kubwa, Abuja",2026-06-01 11:10:18
4 bedroom terraced duplex for rent,"₦18,000,000","Jahi, Abuja",2026-06-01 11:10:18
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja",2026-06-01 11:10:18
2 bedroom flat / apartment for rent,"₦4,000,000","Dawaki, Gwarinpa, Abuja",2026-06-01 11:10:18
Office space for rent,"₦30,000,000","4th Avenue Main Express Busy Road, Gwarinpa, Abuja",2026-06-01 11:10:18
Office space for rent,"₦12,500,000","69 Road, Gwarinpa, Abuja",2026-06-01 11:10:18
1 bedroom flat / apartment for rent,"₦3,200,000","Dawaki, Gwarinpa, Abuja",2026-06-01 11:10:18
Plaza / complex / mall for rent,"₦2,880,000","Jabi, Abuja",2026-06-01 11:10:18
2 bedroom flat / apartment for rent,"₦4,500,000","Katampe, Abuja",2026-06-01 11:10:18
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:10:24
Self contain (single rooms) for rent,"₦1,500,000","Life Camp, Abuja",2026-06-01 11:10:24
1 bedroom flat / apartment for rent,"₦3,000,000","News Engineering, Dawaki, Gwarinpa, Abuja",2026-06-01 11:10:24
2 bedroom flat / apartment for rent,"₦4,000,000","News Engineering, Dawaki, Gwarinpa, Abuja",2026-06-01 11:10:24
4 bedroom detached duplex for rent,"₦35,000,000","Kado By Mfm, Mabushi, Abuja",2026-06-01 11:10:24
3 bedroom flat / apartment for rent,"₦8,000,000","Kaura, Abuja",2026-06-01 11:10:24
2 bedroom flat / apartment for rent,"₦7,000,000","Kaura, Abuja",2026-06-01 11:10:24
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja",2026-06-01 11:10:24
2 bedroom flat / apartment for rent,"₦8,000,000","Jahi, Abuja",2026-06-01 11:10:24
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja",2026-06-01 11:10:24
3 bedroom flat / apartment for rent,"₦11,000,000","Wuye, Abuja",2026-06-01 11:10:24
Office space for rent,"₦300,000,000","Cbd, Central Business District, Abuja",2026-06-01 11:10:24
Office space for rent,"₦360,000,000","Area 11, Garki, Abuja",2026-06-01 11:10:24
4 bedroom terraced duplex for rent,"₦10,000,000","Apo, Abuja",2026-06-01 11:10:24
Office space for rent,"₦25,000,000","Wuse 2, Abuja",2026-06-01 11:10:24
3 bedroom flat / apartment for rent,"₦15,000,000","No. 16 Oladipo, Jahi, Abuja",2026-06-01 11:10:24
3 bedroom flat / apartment for rent,"₦18,000,000","Oladapo Afolabi Crescent, Jahi, Abuja",2026-06-01 11:10:24
4 bedroom flat / apartment for rent,"₦40,000,000","Katampe Extension, Katampe, Abuja",2026-06-01 11:10:24
3 bedroom flat / apartment for rent,"₦8,000,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:10:24
Commercial property for rent,"₦80,000,000","Maitama District, Abuja",2026-06-01 11:10:24
4 bedroom terraced duplex for rent,"₦8,000,000","Galadimawa, Abuja",2026-06-01 11:10:24
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:10:32
4 bedroom semi-detached duplex for rent,"₦40,000,000","Maitama District, Abuja",2026-06-01 11:10:32
2 bedroom terraced duplex for rent,"₦13,000,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:10:32
2 bedroom flat / apartment for rent,"₦8,000,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:10:32
3 bedroom flat / apartment for rent,"₦11,000,000","By Living Faith, Katampe (Main), Katampe, Abuja",2026-06-01 11:10:32
1 bedroom mini flat (room and parlour) for rent,"₦1,100,000","G.r.a Gbessa Opposite Immigration Hq, Sauka Airport Road, Kyami, Abuja",2026-06-01 11:10:32
3 bedroom flat / apartment for rent,"₦6,500,000","Area 1 Axis., Durumi, Abuja",2026-06-01 11:10:32
3 bedroom flat / apartment for rent,"₦30,000,000","By Shoprite, Jabi, Abuja",2026-06-01 11:10:32
1 bedroom flat / apartment for rent,"₦4,000,000","News Engineering, Dawaki, Gwarinpa, Abuja",2026-06-01 11:10:32
Office space for rent,"₦6,000,000","Gaduwa, Abuja",2026-06-01 11:10:32
Self contain (single rooms) for rent,"₦1,500,000","News Engineering, Dawaki, Gwarinpa, Abuja",2026-06-01 11:10:32
Office space for rent,"₦6,000,000","Gaduwa, Abuja",2026-06-01 11:10:32
6 bedroom detached duplex for rent,"₦25,000,000","Jabi, Abuja",2026-06-01 11:10:32
3 bedroom flat / apartment for rent,"₦5,500,000","Gaduwa, Abuja",2026-06-01 11:10:32
3 bedroom flat / apartment for rent,"₦7,000,000","Gudu, Abuja",2026-06-01 11:10:32
1 bedroom flat / apartment for rent,"₦2,500,000","Galadimawa, Abuja",2026-06-01 11:10:32
Office space for rent,"₦15,477,600","Wuse 2, Abuja",2026-06-01 11:10:32
1 bedroom flat / apartment for rent,"₦3,000,000","Dawaki District, Dawaki, Gwarinpa, Abuja",2026-06-01 11:10:32
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja",2026-06-01 11:10:32
2 bedroom flat / apartment for rent,"₦3,000,000","Dawaki District, Dawaki, Gwarinpa, Abuja",2026-06-01 11:10:32
4 bedroom semi-detached duplex for rent,"₦25,000,000","Life Camp, Abuja",2026-06-01 11:10:32
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja",2026-06-01 11:10:41
4 bedroom terraced duplex for rent,"₦40,000,000","Maitama District, Abuja",2026-06-01 11:10:41
Office space for rent,"₦400,000,000","Area 11, Garki, Abuja",2026-06-01 11:10:41
3 bedroom flat / apartment for rent,"₦7,000,000","Along Lokogoma Road, Gaduwa, Abuja",2026-06-01 11:10:41
3 bedroom semi-detached duplex for rent,"₦10,000,000","By Ceder Crest Hospital, Apo, Abuja",2026-06-01 11:10:41
5 bedroom detached duplex for rent,"₦12,000,000","Gaduwa, Abuja",2026-06-01 11:10:41
4 bedroom detached duplex for rent,"₦11,000,000","Gaduwa, Abuja",2026-06-01 11:10:41
1 bedroom mini flat (room and parlour) for rent,"₦2,500,000","Lokogoma District, Abuja",2026-06-01 11:10:41
4 bedroom terraced duplex for rent,"₦3,000,000","Guzape District, Abuja",2026-06-01 11:10:41
3 bedroom terraced duplex for rent,"₦10,000,000","Apo, Abuja",2026-06-01 11:10:41
4 bedroom detached duplex for rent,"₦7,000,000","Von Axis, Lugbe District, Abuja",2026-06-01 11:10:41
Self contain (single rooms) for rent,"₦1,500,000","Von Axis, Lugbe District, Abuja",2026-06-01 11:10:41
Shop for rent,"₦7,000,000","On Ademola Adetokumbo, Wuse 2, Abuja",2026-06-01 11:10:41
4 bedroom detached duplex for rent,"₦15,000,000,000","Life Camp, Abuja",2026-06-01 11:10:41
3 bedroom flat / apartment for rent,"₦6,500,000","Jahi, Abuja",2026-06-01 11:10:41
3 bedroom flat / apartment for rent,"₦18,000,000","Zone 6, Wuse, Abuja",2026-06-01 11:10:41
2 bedroom flat / apartment for rent,"₦20,000,000","Wuse 2, Abuja",2026-06-01 11:10:41
Warehouse for rent,"₦70,000","Gudu, Abuja",2026-06-01 11:10:41
4 bedroom terraced duplex for rent,"₦10,000,000","By Gaat School, Gaduwa, Abuja",2026-06-01 11:10:41
Warehouse for rent,"₦25,000,000","Dei Dei Expressway, Dei-Dei, Abuja",2026-06-01 11:10:41
3 bedroom flat / apartment for rent,"₦25,000,000","Maitama District, Abuja",2026-06-01 11:10:41
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja",2026-06-01 11:10:45
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja",2026-06-01 11:10:45
3 bedroom flat / apartment for rent,"₦10,000,000","Zone 6, Wuse, Abuja",2026-06-01 11:10:45
3 bedroom flat / apartment for rent,"₦40,000,000","Around British Village, Wuse 2, Abuja",2026-06-01 11:10:45
3 bedroom flat / apartment for rent,"₦6,000,000","Area 2, Garki, Abuja",2026-06-01 11:10:45
Office space for rent,"₦5,000,000","Gana Street, Maitama District, Abuja",2026-06-01 11:10:45
2 bedroom flat / apartment for rent,"₦25,000,000","By Shoprite, Jabi, Abuja",2026-06-01 11:10:45
3 bedroom terraced duplex for rent,"₦25,000,000","Off Mississippi, Maitama District, Abuja",2026-06-01 11:10:45
2 bedroom flat / apartment for rent,"₦7,000,000","By Nut Axis, Lugbe District, Abuja",2026-06-01 11:10:45
Office space for rent,"₦35,000,000","Wuse Zone, Wuse, Abuja",2026-06-01 11:10:45
4 bedroom house for rent,"₦9,000,000","Apo, Abuja",2026-06-01 11:10:45
4 bedroom terraced duplex for rent,"₦20,000,000","Jabi, Abuja",2026-06-01 11:10:45
4 bedroom terraced duplex for rent,"₦40,000,000","Lakeview, Jabi, Abuja",2026-06-01 11:10:45
2 bedroom flat / apartment for rent,"₦25,000,000","Wuye, Abuja",2026-06-01 11:10:45
4 bedroom terraced duplex for rent,"₦37,000,000","Wuye, Abuja",2026-06-01 11:10:45
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja",2026-06-01 11:10:45
Commercial property for rent,"₦35,000,000","Jabi, Abuja",2026-06-01 11:10:45
Commercial property for rent,"₦80,000,000","Wuse 2, Abuja",2026-06-01 11:10:45
2 bedroom terraced duplex for rent,"₦9,000,000","Guzape District, Abuja",2026-06-01 11:10:45
4 bedroom terraced duplex for rent,"₦15,000,000","Mabushi, Abuja",2026-06-01 11:10:45
3 bedroom flat / apartment for rent,"₦25,000,000","Off Ibb Boulevard, Maitama District, Abuja",2026-06-01 11:10:45
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja",2026-06-01 11:10:52
3 bedroom flat / apartment for rent,"₦25,000,000","Aso-drive, Maitama District, Abuja",2026-06-01 11:10:52
4 bedroom semi-detached duplex for rent,"₦27,000,000","Asokoro District, Abuja",2026-06-01 11:10:52
3 bedroom flat / apartment for rent,"₦7,000,000","Kado, Abuja",2026-06-01 11:10:52
1 bedroom mini flat (room and parlour) for rent,"₦1,500,000","Kubwa, Abuja",2026-06-01 11:10:52
3 bedroom flat / apartment for rent,"₦7,000,000","Durumi, Abuja",2026-06-01 11:10:52
3 bedroom flat / apartment for rent,"₦6,500,000","Main, Guzape District, Abuja",2026-06-01 11:10:52
1 bedroom mini flat (room and parlour) for rent,"₦2,500,000","Galadimawa, Abuja",2026-06-01 11:10:52
3 bedroom flat / apartment for rent,"₦6,000,000","Life Camp, Abuja",2026-06-01 11:10:52
4 bedroom terraced duplex for rent,"₦25,000,000","Guzape District, Abuja",2026-06-01 11:10:52
2 bedroom flat / apartment for rent,"₦17,000,000","Utako, Abuja",2026-06-01 11:10:52
2 bedroom flat / apartment for rent,"₦6,500,000","Wuye, Abuja",2026-06-01 11:10:52
6 bedroom detached duplex for rent,"₦35,000,000","Katampe, Abuja",2026-06-01 11:10:52
4 bedroom terraced duplex for rent,"₦17,000,000","Guzape District, Abuja",2026-06-01 11:10:52
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape, Guzape District, Abuja",2026-06-01 11:10:52
2 bedroom flat / apartment for rent,"₦6,000,000","By Old Secret, Area 1, Garki, Abuja",2026-06-01 11:10:52
3 bedroom flat / apartment for rent,"₦8,500,000","Bilard Estate, Life Camp, Abuja",2026-06-01 11:10:52
Office space for rent,"₦50,000","Off Gudu Electronic Market, Gudu, Abuja",2026-06-01 11:10:52
3 bedroom terraced duplex for rent,"₦15,000,000","Guzape, Guzape District, Abuja",2026-06-01 11:10:52
4 bedroom terraced duplex for rent,"₦16,000,000","Jabi, Abuja",2026-06-01 11:10:52
Conference / meeting / training room for rent,"₦100,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:10:52
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja",2026-06-01 11:10:58
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja",2026-06-01 11:10:58
2 bedroom flat / apartment for rent,"₦4,500,000","Nizamiya Hospital Axis, Idu Industrial, Abuja",2026-06-01 11:10:58
4 bedroom semi-detached duplex for rent,"₦9,000,000","River Park Estate Cluster 3, Lugbe District, Abuja",2026-06-01 11:10:58
4 bedroom terraced duplex for rent,"₦30,000,000","Guzape District, Abuja",2026-06-01 11:10:58
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja",2026-06-01 11:10:58
3 bedroom terraced duplex for rent,"₦11,000,000","Jabi, Abuja",2026-06-01 11:10:58
4 bedroom semi-detached duplex for rent,"₦9,000,000","Riverpark Estate, Lugbe District, Abuja",2026-06-01 11:10:58
Plaza / complex / mall for rent,"₦7,000,000","Wuse 2, Abuja",2026-06-01 11:10:58
3 bedroom flat / apartment for rent,"₦14,000,000","Kukwaba, Abuja",2026-06-01 11:10:58
1 bedroom flat / apartment for rent,"₦2,500,000","Lugbe District, Abuja",2026-06-01 11:10:58
3 bedroom flat / apartment for rent,"₦20,000,000","Garki, Abuja",2026-06-01 11:10:58
5 bedroom house for rent,"₦25,000,000","Guzape District, Abuja",2026-06-01 11:10:58
5 bedroom semi-detached duplex for rent,"₦60,000,000","Asokoro District, Abuja",2026-06-01 11:10:58
4 bedroom detached duplex for rent,"₦15,000,000","Life Camp, Abuja",2026-06-01 11:10:58
4 bedroom terraced duplex for rent,"₦30,000,000","Guzape District, Abuja",2026-06-01 11:10:58
2 bedroom flat / apartment for rent,"₦4,500,000","Kubwa Extension, FO1 Layout, Kubwa, Abuja",2026-06-01 11:10:58
2 bedroom flat / apartment for rent,"₦6,000,000","Galadimawa, Abuja",2026-06-01 11:10:58
5 bedroom detached duplex for rent,"₦50,000,000","Maitama District, Abuja",2026-06-01 11:10:58
2 bedroom flat / apartment for rent,"₦8,000,000","Jahi, Abuja",2026-06-01 11:10:58
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja",2026-06-01 11:10:58
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja",2026-06-01 11:11:06
Self contain (single rooms) for rent,"₦1,000,000","6th Avenue, Gwarinpa, Abuja",2026-06-01 11:11:06
1 bedroom mini flat (room and parlour) for rent,"₦7,500,000","Garki, Abuja",2026-06-01 11:11:06
Office space for rent,"₦94,050,000","Gudu, Abuja",2026-06-01 11:11:06
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja",2026-06-01 11:11:06
4 bedroom flat / apartment for rent,"₦7,000,000","FO1 Layout, Kubwa, Abuja",2026-06-01 11:11:06
3 bedroom flat / apartment for rent,"₦7,000,000","Durumi, Abuja",2026-06-01 11:11:06
4 bedroom terraced duplex for rent,"₦20,000,000","Jabi, Abuja",2026-06-01 11:11:06
2 bedroom flat / apartment for rent,"₦7,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",2026-06-01 11:11:06
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja",2026-06-01 11:11:06
5 bedroom detached duplex for rent,"₦30,000,000","Mabushi, Abuja",2026-06-01 11:11:06
3 bedroom house for rent,"₦12,000,000","Mabushi, Abuja",2026-06-01 11:11:06
2 bedroom flat / apartment for rent,"₦8,000,000","Mabushi, Abuja",2026-06-01 11:11:06
4 bedroom detached duplex for rent,"₦12,000,000","Cluster 4, River Park Estate Airport Road, Lugbe District, Abuja",2026-06-01 11:11:06
4 bedroom semi-detached duplex for rent,"₦12,000,000","Garki, Abuja",2026-06-01 11:11:06
1 bedroom flat / apartment for rent,"₦4,000,000","Durumi, Durumi, Abuja",2026-06-01 11:11:06
3 bedroom flat / apartment for rent,"₦6,000,000","Area 2, Garki, Abuja",2026-06-01 11:11:06
3 bedroom flat / apartment for rent,"₦10,000,000","Gilmore, Jahi, Abuja",2026-06-01 11:11:06
2 bedroom flat / apartment for rent,"₦8,000,000","Diplomatic Zone., Katampe Extension, Katampe, Abuja",2026-06-01 11:11:06
2 bedroom house for rent,"₦26,000,000","Wuye, Abuja",2026-06-01 11:11:06
2 bedroom house for rent,"₦3,000,000","Wuye, Abuja",2026-06-01 11:11:06
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja",2026-06-01 11:11:14
2 bedroom house for rent,"₦3,000,000","Wuye, Abuja",2026-06-01 11:11:14
5 bedroom detached duplex for rent,"₦35,000,000","Guzape District, Abuja",2026-06-01 11:11:14
2 bedroom house for rent,"₦3,000,000","Wuye, Abuja",2026-06-01 11:11:14
3 bedroom flat / apartment for rent,"₦40,000,000","Maitama District, Abuja",2026-06-01 11:11:14
Self contain (single rooms) for rent,"₦600,000","Guidna Opposite Nysc Junction Off Kubwa Express Way, Kubwa, Abuja",2026-06-01 11:11:14
7 bedroom detached duplex for rent,"₦120,000,000","Maitama District, Abuja",2026-06-01 11:11:14
5 bedroom detached duplex for rent,"₦20,000,000","Gillmore, Jahi, Abuja",2026-06-01 11:11:14
5 bedroom detached duplex for rent,"₦20,000,000","By American International School, Durumi, Abuja",2026-06-01 11:11:14
3 bedroom terraced duplex for rent,"₦10,000,000","Gaduwa, Abuja",2026-06-01 11:11:14
3 bedroom flat / apartment for rent,"₦7,000,000","Gudu, Abuja",2026-06-01 11:11:14
4 bedroom terraced duplex for rent,"₦30,000,000","Guzape District, Abuja",2026-06-01 11:11:14
2 bedroom flat / apartment for rent,"₦4,500,000","Nnpc Estate, Life Camp, Abuja",2026-06-01 11:11:14
3 bedroom terraced duplex for rent,"₦10,000,000","Apo, Abuja",2026-06-01 11:11:14
4 bedroom terraced duplex for rent,"₦17,000,000","Katampe Extension, Katampe, Abuja",2026-06-01 11:11:14
3 bedroom flat / apartment for rent,"$25,000","Jabi, Abuja",2026-06-01 11:11:14
5 bedroom detached duplex for rent,"₦50,000,000","Asokoro District, Abuja",2026-06-01 11:11:14
4 bedroom semi-detached duplex for rent,"₦6,000,000","Kool Street, Galadimawa, Abuja",2026-06-01 11:11:14
3 bedroom flat / apartment for rent,"₦25,000,000","Jahi, Abuja",2026-06-01 11:11:14
2 bedroom flat / apartment for rent,"₦4,500,000","Associated Estate, Karmo, Abuja",2026-06-01 11:11:14
1 bedroom flat / apartment for rent,"₦4,000,000","Nice Location At Mabushi By Vio, Mabushi, Abuja",2026-06-01 11:11:14
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja",2026-06-01 11:11:20
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja",2026-06-01 11:11:20
3 bedroom terraced duplex for rent,"₦10,000,000","Apo Abuja, Apo, Abuja",2026-06-01 11:11:20
9 bedroom detached duplex for rent,"₦20,000,000","By American School, Garki, Abuja",2026-06-01 11:11:20
Self contain (single rooms) for rent,"₦2,500,000","By Arab( Fully Tarred), Utako, Abuja",2026-06-01 11:11:20
4 bedroom house for rent,"₦13,000,000","Guzape District, Abuja",2026-06-01 11:11:20
2 bedroom flat / apartment for rent,"₦7,000,000","By Shafa( Fully Tarred Rd), Wuse, Abuja",2026-06-01 11:11:20
Self contain (single rooms) for rent,"₦3,000,000","69 Road, Gwarinpa, Abuja",2026-06-01 11:11:20
3 bedroom terraced duplex for rent,"₦10,000,000","By Gudu Junction, Close To Ceedercrest Hospital., Apo, Abuja",2026-06-01 11:11:20
3 bedroom semi-detached duplex for rent,"₦10,000,000","By Cedar Crest, Apo, Abuja",2026-06-01 11:11:20
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja",2026-06-01 11:11:20
5 bedroom detached duplex for rent,"₦12,000,000","Gaduwa, Abuja",2026-06-01 11:11:20
3 bedroom terraced duplex for rent,"₦10,000,000","Apo-dutse By Amina Court, Apo, Abuja",2026-06-01 11:11:20
3 bedroom flat / apartment for rent,"₦6,500,000","Enl Estate, Guzape District, Abuja",2026-06-01 11:11:20
Self contain (single rooms) for rent,"₦1,750,000","Guzape District, Abuja",2026-06-01 11:11:20
3 bedroom detached bungalow for rent,"₦7,000,000","Galadimawa, Abuja",2026-06-01 11:11:20
Self contain (single rooms) for rent,"₦1,200,000","Apo Primary Super Cell Estate, Apo, Abuja",2026-06-01 11:11:20
Self contain (single rooms) for rent,"₦700,000","Lugbe District, Abuja",2026-06-01 11:11:20
Self contain (single rooms) for rent,"₦1,200,000","Super Cell Estate, Apo, Abuja",2026-06-01 11:11:20
Office space for rent,"₦40,000,000","Close To Aa Rano Filling Station, Utako, Abuja",2026-06-01 11:11:20
5 bedroom detached duplex for rent,"₦30,000,000","Close To Vio, Mabushi, Abuja",2026-06-01 11:11:20
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja",2026-06-01 11:11:27
3 bedroom terraced duplex for rent,"₦10,000,000","Near Cedar Crest Hospital, Apo, Abuja",2026-06-01 11:11:27
3 bedroom semi-detached bungalow for rent,"₦6,000,000","Favour Land Estate, Life Camp, Abuja",2026-06-01 11:11:27
3 bedroom terraced duplex for rent,"₦10,000,000","Apo, Abuja",2026-06-01 11:11:27
2 bedroom flat / apartment for rent,"₦4,000,000","Mike Street, Galadimawa, Abuja",2026-06-01 11:11:27
1 bedroom mini flat (room and parlour) for rent,"₦2,500,000","Dinners Street, Galadimawa, Abuja",2026-06-01 11:11:27
2 bedroom flat / apartment for rent,"₦25,000,000","Wuse, Abuja",2026-06-01 11:11:27
4 bedroom terraced duplex for rent,"₦15,000,000","Kado, Abuja",2026-06-01 11:11:27
5 bedroom terraced duplex for rent,"₦25,000,000","Wuse Zone, Wuse, Abuja",2026-06-01 11:11:27
4 bedroom house for rent,"₦25,000,000","Bilard Estate, Life Camp, Abuja",2026-06-01 11:11:27
3 bedroom flat / apartment for rent,"₦7,000,000","Mabushi, Abuja",2026-06-01 11:11:27
3 bedroom terraced duplex for rent,"₦15,000,000","Gilmor, Jahi, Abuja",2026-06-01 11:11:27
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja",2026-06-01 11:11:27
3 bedroom detached bungalow for rent,"₦9,000,000","Galadimawa, Abuja",2026-06-01 11:11:27
5 bedroom terraced duplex for rent,"₦25,000,000","Wuse 2, Abuja",2026-06-01 11:11:27
2 bedroom semi-detached bungalow for rent,"₦5,000,000","Centage Estate Apo Close To Cedacrest Hospital, Apo, Abuja",2026-06-01 11:11:27
Self contain (single rooms) for rent,"₦3,000,000","Federal Ministry Of Works And Housing Estate, Karu Phase I, Karu, Abuja",2026-06-01 11:11:27
2 bedroom flat / apartment for rent,"₦8,000,000","Life Camp, Abuja",2026-06-01 11:11:27
3 bedroom terraced duplex for rent,"₦10,000,000","Apo, Abuja",2026-06-01 11:11:27
4 bedroom terraced duplex for rent,"₦7,500,000","By Brains And Hammers Estate, Galadimawa, Abuja",2026-06-01 11:11:27
2 bedroom flat / apartment for rent,"₦16,000,000","Jahi District, Jahi, Abuja",2026-06-01 11:11:27
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:11:34
1 bedroom mini flat (room and parlour) for rent,"₦8,030,000","Gudu, Abuja",2026-06-01 11:11:34
4 bedroom flat / apartment for rent,"₦5,000,000","Gaduwa, Abuja",2026-06-01 11:11:34
4 bedroom detached duplex for rent,"₦25,000,000","Galadimawa, Abuja",2026-06-01 11:11:34
2 bedroom flat / apartment for rent,"₦6,000,000","Garki Area 11, Garki, Abuja",2026-06-01 11:11:34
3 bedroom flat / apartment for rent,"₦8,000,000","Asokoro, Asokoro District, Abuja",2026-06-01 11:11:34
8 bedroom detached duplex for rent,"₦65,000,000","Asokoro Main, Asokoro District, Abuja",2026-06-01 11:11:34
3 bedroom flat / apartment for rent,"₦15,000,000","Katampe, Abuja",2026-06-01 11:11:34
3 bedroom terraced duplex for rent,"₦10,000,000","Gaduwa, Abuja",2026-06-01 11:11:34
4 bedroom semi-detached duplex for rent,"₦18,000,000","Naf Estate, Asokoro District, Abuja",2026-06-01 11:11:34
1 bedroom flat / apartment for rent,"₦1,500,000","By Kabusa Gardens Estate Along Sunnyvale Junction Road., Lokogoma District, Abuja",2026-06-01 11:11:34
Self contain (single rooms) for rent,"₦500,000","Close To Kabusa Gardens Estate, Along Sunnyvale Junction Road, Lokogoma District, Abuja",2026-06-01 11:11:34
