District,Bedrooms,Price (Per Annum),Property Category,Property Type,Location,Scraped_At,Source
Wuye,2,4000000.0,Apartment,Apartment,"Furnished 2bdrm Apartment in Auta Ibrahim Street, Wuye for rent",2026-05-30 13:26:04,Jiji
Lokogoma,1,3000000.0,Apartment,Apartment,1bdrm Block of Flats in Lokogoma for rent,2026-05-30 13:26:12,Jiji
Wuye,2,7000000.0,Apartment,Apartment,2bdrm Apartment in Wuye for rent,2026-05-30 13:26:12,Jiji
Jabi,5,25000000.0,Duplex,Detached Duplex,5bdrm Duplex in Jabi for rent,2026-05-30 13:26:12,Jiji
Asokoro,2,18000000.0,Apartment,Apartment,Furnished 2bdrm Block of Flats in Asokoro for rent,2026-05-30 13:26:12,Jiji
Gwarinpa,1,658750.0,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:26:12,Jiji
Asokoro,4,40000000.0,Duplex,Detached Duplex,4bdrm Duplex in Asokoro for rent,2026-05-30 13:26:12,Jiji
Jabi,3,7000000.0,House,House,"3bdrm Bungalow in Efab City Estate, Jabi for rent",2026-05-30 13:26:12,Jiji
Gwarinpa,5,20000000.0,Duplex,Detached Duplex,"5bdrm Duplex in Efab Metropolis, Gwarinpa for rent",2026-05-30 13:26:12,Jiji
Utako,5,60000000.0,Duplex,Detached Duplex,Furnished 5bdrm Duplex in Utako for rent,2026-05-30 13:26:12,Jiji
Maitama,6,79999999.0,Duplex,Detached Duplex,6bdrm Duplex in Maitama for rent,2026-05-30 13:26:12,Jiji
Idu,4,6500000.0,Duplex,Detached Duplex,4bdrm Duplex in Idu for rent,2026-05-30 13:26:12,Jiji
Life Camp,4,16000000.0,Duplex,Detached Duplex,Furnished 4bdrm Duplex in Life Camp for rent,2026-05-30 13:26:12,Jiji
Maitama,9,75000000.0,House,House,9bdrm Mansion in Maitama for rent,2026-05-30 13:26:12,Jiji
Kubwa,1,600000.0,Apartment,Self Contain,"Furnished Studio Apartment in Freedom Avenue, Kubwa for rent",2026-05-30 13:26:19,Jiji
Kubwa,1,45000000.0,Apartment,Apartment,1bdrm Apartment in Kubwa Estate for rent,2026-05-30 13:26:19,Jiji
Maitama,3,49999999.0,Duplex,Detached Duplex,3bdrm Duplex in Maitama for rent,2026-05-30 13:26:19,Jiji
Gwarinpa,4,8500000.0,House,House,"4bdrm Bungalow in Mab Global, Gwarinpa for rent",2026-05-30 13:26:19,Jiji
Galadimawa,5,13000000.0,Duplex,Detached Duplex,5bdrm Duplex in Galadimawa for rent,2026-05-30 13:26:19,Jiji
Jabi,4,20000000.0,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Jabi for rent,2026-05-30 13:26:19,Jiji
Wuye,2,6500000.0,Apartment,Apartment,2bdrm Block of Flats in Wuye for rent,2026-05-30 13:26:19,Jiji
Maitama,5,25000000.0,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:26:19,Jiji
Jahi,3,75000000.0,Apartment,Apartment,3bdrm Block of Flats in Jahi for rent,2026-05-30 13:26:19,Jiji
Life Camp,2,5000000.0,Apartment,Apartment,2bdrm Apartment in Lifecamp for rent,2026-05-30 13:26:19,Jiji
Gwarinpa,4,15000000.0,Duplex,Detached Duplex,"4bdrm Duplex in Qwarimpa, Gwarinpa for rent",2026-05-30 13:26:19,Jiji
Durumi,3,4000000.0,Apartment,Apartment,"3bdrm Apartment in Gowan Street, Durumi for rent",2026-05-30 13:26:19,Jiji
Lokogoma,2,3000000.0,Apartment,Apartment,"Furnished 2bdrm Apartment in City Homes, Lokogoma for rent",2026-05-30 13:26:19,Jiji
Jahi,3,10000000.0,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:26:19,Jiji
Galadimawa,5,13000000.0,Duplex,Detached Duplex,5bdrm Duplex in Galadimawa for rent,2026-05-30 13:26:28,Jiji
Galadimawa,4,8000000.0,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in Levi Estate, Galadimawa for rent",2026-05-30 13:26:28,Jiji
