District,Bedrooms,Price (Per Annum),Property Category,Property Type,Location,Scraped_At
Maitama,4,50000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:27:45
Asokoro,4,25000000,Duplex,Terraced Duplex,"Furnished 4bdrm Townhouse / Terrace in Jimmy Carter, Asokoro for rent",2026-05-30 13:27:45
Gwarinpa,1,450000,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:27:45
Asokoro,2,35000000,Apartment,Apartment,"Furnished 2bdrm Block of Flats in Villa, Asokoro for rent",2026-05-30 13:27:45
Jahi,2,8000000,Apartment,Apartment,"2bdrm Block of Flats in Fortune Estate, Jahi for rent",2026-05-30 13:27:45
Kubwa,2,2500000,Apartment,Apartment,"2bdrm Apartment in F14, Kubwa for rent",2026-05-30 13:27:45
Mabushi,3,9000000,Apartment,Apartment,3bdrm Block of Flats in Mabushi Main for rent,2026-05-30 13:27:45
Maitama,4,50000000,Apartment,Apartment,4bdrm Block of Flats in Maitama for rent,2026-05-30 13:27:50
Mabushi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:27:50
Utako,1,2000000,Apartment,Self Contain,Studio Apartment in Utako for rent,2026-05-30 13:27:50
Gwarinpa,1,1054000,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:27:50
Asokoro,2,15000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Asokoro for rent,2026-05-30 13:27:50
Utako,4,30000000,Duplex,Detached Duplex,Furnished 4bdrm Duplex in Utako for rent,2026-05-30 13:27:50
Gwarinpa,4,12000000,Duplex,Detached Duplex,"4bdrm Duplex in Gwarimpa Estate, Gwarinpa for rent",2026-05-30 13:27:50
Wuye,3,8000000,Apartment,Apartment,"3bdrm Block of Flats in E, Wuye for rent",2026-05-30 13:27:50
Asokoro,5,25000000,Duplex,Terraced Duplex,5bdrm Townhouse / Terrace in Asokoro Main for rent,2026-05-30 13:27:50
Maitama,4,20000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:27:50
Maitama,5,90000000,House,House,Furnished 5bdrm Mansion in Maitama for rent,2026-05-30 13:27:50
Jahi,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Jahi Gilmore,Fct for rent",2026-05-30 13:27:50
Gwarinpa,1,658750,Apartment,Apartment,Furnished 1bdrm Apartment in Gwarinpa for rent,2026-05-30 13:27:50
Kado,4,8000000,House,House,4bdrm Bungalow in Kado for rent,2026-05-30 13:27:50
Asokoro,6,140000000,Duplex,Detached Duplex,Furnished 6bdrm Duplex in Asokoro for rent,2026-05-30 13:27:50
Maitama,1,5000000,House,House,1bdrm Room & Parlour in Maitama for rent,2026-05-30 13:27:50
Mabushi,4,15000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Mabushi for rent,2026-05-30 13:27:59
Maitama,7,70000000,Duplex,Detached Duplex,7bdrm Duplex in Maitama for rent,2026-05-30 13:27:59
Asokoro,4,30000000,Duplex,Detached Duplex,4bdrm Duplex in Asokoro for rent,2026-05-30 13:27:59
Galadimawa,4,5500000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in City Estate, Galadimawa for rent",2026-05-30 13:27:59
Galadimawa,4,8000000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in Spring Boulevard, Galadimawa for rent",2026-05-30 13:27:59
Galadimawa,3,6000000,House,House,"Furnished 3bdrm Bungalow in Suncity Estate, Galadimawa for rent",2026-05-30 13:27:59
Kubwa,4,7500000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in F01, Kubwa for rent",2026-05-30 13:27:59
Galadimawa,4,10000000,Duplex,Detached Duplex,4bdrm Duplex in Galadimawa for rent,2026-05-30 13:27:59
Kubwa,1,2500000,House,House,1bdrm Bungalow in Kubwa for rent,2026-05-30 13:27:59
Kubwa,4,5000000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in F01, Kubwa for rent",2026-05-30 13:27:59
Gaduwa,3,6000000,Apartment,Apartment,3bdrm Block of Flats in Gaduwa for rent,2026-05-30 13:27:59
Wuye,1,7000000,Apartment,Apartment,1bdrm Apartment in Wuye for rent,2026-05-30 13:28:04
Jabi,3,12000000,Apartment,Apartment,3bdrm Apartment in Jabi for rent,2026-05-30 13:28:04
Utako,1,4500000,House,House,1bdrm Bungalow in Utako District for rent,2026-05-30 13:28:04
Wuye,3,12000000,Apartment,Apartment,3bdrm Apartment in Main Wuye for rent,2026-05-30 13:28:04
Asokoro,2,25000000,Apartment,Apartment,Furnished 2bdrm Apartment in Aso Villa Asokoro for rent,2026-05-30 13:28:04
Utako,3,10000000,Apartment,Apartment,3bdrm Block of Flats in Utako for rent,2026-05-30 13:28:04
Wuye,2,6500000,Apartment,Apartment,2bdrm Apartment in Wuye for rent,2026-05-30 13:28:04
Maitama,4,60000000,Duplex,Detached Duplex,4bdrm Duplex in Maitama for rent,2026-05-30 13:28:04
Mabushi,3,10000000,Apartment,Apartment,3bdrm Apartment in Mabushi for rent,2026-05-30 13:28:04
Jabi,4,35000000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in Nugget, Jabi for rent",2026-05-30 13:28:04
Jahi,2,6500000,Apartment,Apartment,2bdrm Block of Flats in Jahi Glimo for rent,2026-05-30 13:28:04
Jahi,4,16000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:28:04
Jabi,2,7000000,Apartment,Apartment,2bdrm Apartment in Jabi for rent,2026-05-30 13:28:04
Jahi,1,7000000,Apartment,Apartment,1bdrm Apartment in Jahi for rent,2026-05-30 13:28:04
Jahi,3,8000000,Apartment,Apartment,3bdrm Apartment in Jahi for rent,2026-05-30 13:28:15
Jahi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Jahi for rent,2026-05-30 13:28:15
Mabushi,4,12000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Mabushi for rent,2026-05-30 13:28:15
Jabi,3,8000000,Apartment,Apartment,3bdrm Apartment in Jabi for rent,2026-05-30 13:28:15
Mabushi,4,20000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Mabushi for rent,2026-05-30 13:28:15
Jabi,3,5500000,Apartment,Apartment,3bdrm Block of Flats in Main Jabi By Fcmb for rent,2026-05-30 13:28:15
Mabushi,4,17000000,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:28:15
Gwarinpa,3,7500000,Duplex,Terraced Duplex,"3bdrm Townhouse / Terrace in Main Gwarimpa, Gwarinpa for rent",2026-05-30 13:28:15
Kubwa,2,2500000,House,House,2bdrm Bungalow in Kubwa for rent,2026-05-30 13:28:15
Jahi,3,75000000,Apartment,Apartment,3bdrm Block of Flats in Jahi for rent,2026-05-30 13:28:15
Life Camp,4,13000000,Duplex,Detached Duplex,4bdrm Duplex in Life Camp for rent,2026-05-30 13:28:15
Jabi,4,30000000,Duplex,Detached Duplex,4bdrm Duplex in Jabi for rent,2026-05-30 13:28:22
Jahi,1,4500000,Apartment,Self Contain,Furnished Studio Apartment in Jahi for rent,2026-05-30 13:28:22
Maitama,3,17000000,Apartment,Apartment,3bdrm Apartment in Maitama for rent,2026-05-30 13:28:22
Gwarinpa,2,200000,Apartment,Apartment,"Furnished 2bdrm Block of Flats in Gwarimpa Estate,Fct, Gwarinpa",2026-05-30 13:28:22
Durumi,2,4000000,Apartment,Apartment,2bdrm Block of Flats in Durumi for rent,2026-05-30 13:28:22
Gwarinpa,3,9000000,House,House,"3bdrm Bungalow in Efab Queen Estate By, Gwarinpa for rent",2026-05-30 13:28:22
Gwarinpa,1,1054000,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:28:22
Jahi,4,15000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:28:22
Asokoro,5,25000000,Duplex,Terraced Duplex,5bdrm Townhouse / Terrace in Asokoro Main for rent,2026-05-30 13:28:22
Wuye,3,8000000,Apartment,Apartment,"3bdrm Block of Flats in E, Wuye for rent",2026-05-30 13:28:22
Maitama,1,5000000,House,House,1bdrm Room & Parlour in Maitama for rent,2026-05-30 13:28:22
Gwarinpa,1,922250,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:28:22
Jahi,1,6000000,Apartment,Apartment,1bdrm Apartment in Jahi for rent,2026-05-30 13:28:22
Maitama,4,35000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:28:22
Maitama,5,44999999,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:28:31
Wuye,6,25000000,Duplex,Detached Duplex,"Furnished 6bdrm Duplex in Jessy Street, Wuye for rent",2026-05-30 13:28:31
Durumi,3,4000000,Apartment,Apartment,"3bdrm Apartment in Gowan Street, Durumi for rent",2026-05-30 13:28:31
Kubwa,4,5000000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in F01, Kubwa for rent",2026-05-30 13:28:31
Kubwa,3,5500000,Duplex,Detached Duplex,"Furnished 3bdrm Duplex in Fcda, Kubwa for rent",2026-05-30 13:28:31
Durumi,2,4000000,Apartment,Apartment,2bdrm Apartment in Durumi for rent,2026-05-30 13:28:31
Wuye,1,10000000,Apartment,Apartment,Furnished 1bdrm Apartment in Wuye for rent,2026-05-30 13:28:31
Asokoro,6,35000000,Duplex,Detached Duplex,6bdrm Duplex in Asokoro for rent,2026-05-30 13:28:31
Durumi,2,6500000,Apartment,Apartment,2bdrm Block of Flats in Durumi for rent,2026-05-30 13:28:31
Mabushi,5,15000000,Duplex,Terraced Duplex,5bdrm Townhouse / Terrace in Mabushi for rent,2026-05-30 13:28:31
Asokoro,5,100000000,Duplex,Detached Duplex,5bdrm Duplex in Asokoro for rent,2026-05-30 13:28:31
Jahi,4,18000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Jahi Glimo for rent,2026-05-30 13:28:31
Wuye,4,20000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Wuye for rent,2026-05-30 13:28:31
Asokoro,5,45000000,Duplex,Detached Duplex,5bdrm Duplex in Asokoro for rent,2026-05-30 13:28:36
Jahi,3,8500000,Apartment,Apartment,3bdrm Block of Flats in Jahi for rent,2026-05-30 13:28:36
Jabi,4,35000000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in Nugget, Jabi for rent",2026-05-30 13:28:36
Mabushi,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Nugget, Mabushi for rent",2026-05-30 13:28:36
Jahi,4,16000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:28:36
Jabi,2,7000000,Apartment,Apartment,2bdrm Apartment in Jabi for rent,2026-05-30 13:28:36
Jahi,5,18000000,Duplex,Terraced Duplex,5bdrm Townhouse / Terrace in Jahi Gilmore for rent,2026-05-30 13:28:36
Gwarinpa,1,1500000,Apartment,Self Contain,"Studio Apartment in Efab Verizon, Gwarinpa for rent",2026-05-30 13:28:36
Jahi,1,7000000,Apartment,Apartment,1bdrm Apartment in Jahi for rent,2026-05-30 13:28:36
Jahi,4,25000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:28:36
Jahi,3,10000000,Apartment,Apartment,"3bdrm Block of Flats in Fortune Estate, Jahi for rent",2026-05-30 13:28:36
Kubwa,3,6000000,Duplex,Terraced Duplex,"3bdrm Townhouse / Terrace in Dantata Estate, Kubwa for rent",2026-05-30 13:28:36
Kubwa,1,2300000,Apartment,Apartment,"1bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:28:36
Gwarinpa,5,15000000,Duplex,Detached Duplex,"5bdrm Duplex in Jahi Gilmore,Fct, Gwarinpa for rent",2026-05-30 13:28:36
Jahi,4,20000000,Duplex,Detached Duplex,"4bdrm Duplex in Jahi Gilmore,Fct for rent",2026-05-30 13:28:36
Gwarinpa,5,18000000,House,House,"5bdrm Mansion in Efab Metropolitan, Gwarinpa for rent",2026-05-30 13:28:36
Jabi,6,60000000,Duplex,Detached Duplex,6bdrm Duplex in Jabi for rent,2026-05-30 13:28:36
Maitama,6,100000000,Duplex,Detached Duplex,6bdrm Duplex in Maitama for rent,2026-05-30 13:28:36
Gwarinpa,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Gwarimpa Estate By, Gwarinpa for rent",2026-05-30 13:28:42
Mabushi,4,20000000,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:28:42
Utako,4,30000000,Duplex,Detached Duplex,Furnished 4bdrm Duplex in Utako for rent,2026-05-30 13:28:42
Jabi,3,12000000,Apartment,Apartment,3bdrm Apartment in Jabi for rent,2026-05-30 13:28:42
Jahi,4,15000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:28:42
Asokoro,5,25000000,Duplex,Terraced Duplex,5bdrm Townhouse / Terrace in Asokoro Main for rent,2026-05-30 13:28:42
Wuye,3,8000000,Apartment,Apartment,"3bdrm Block of Flats in E, Wuye for rent",2026-05-30 13:28:42
Maitama,1,5000000,House,House,1bdrm Room & Parlour in Maitama for rent,2026-05-30 13:28:42
Gwarinpa,1,658750,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:28:42
Wuye,5,30000000,Duplex,Terraced Duplex,5bdrm Townhouse / Terrace in Wuye for rent,2026-05-30 13:28:42
Gwarinpa,1,790500,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:28:42
Jabi,3,7000000,Apartment,Apartment,3bdrm Apartment in Jabi for rent,2026-05-30 13:28:42
Asokoro,3,50000000,Duplex,Detached Duplex,"Furnished 3bdrm Duplex in Aso Villa, Asokoro for rent",2026-05-30 13:28:42
Mabushi,4,12000000,House,House,4bdrm Penthouse in Mabushi for rent,2026-05-30 13:28:42
Maitama,5,65000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:28:42
Mabushi,4,15000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Mabushi for rent,2026-05-30 13:28:42
Jahi,2,7000000,Apartment,Apartment,2bdrm Apartment in Jahi for rent,2026-05-30 13:28:42
Mabushi,3,10000000,Apartment,Apartment,3bdrm Apartment in Mabushi for rent,2026-05-30 13:28:49
Wuye,1,7000000,Apartment,Apartment,1bdrm Apartment in Wuye for rent,2026-05-30 13:28:49
Karmo,4,6000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Karmo for rent,2026-05-30 13:28:49
Wuye,2,15000000,Apartment,Apartment,Furnished 2bdrm Apartment in Wuye for rent,2026-05-30 13:28:49
Maitama,4,20000000,House,House,4bdrm Bungalow in Maitama for rent,2026-05-30 13:28:49
Jahi,3,144000000,Apartment,Apartment,3bdrm Block of Flats in Jahi Gilmore for rent,2026-05-30 13:28:49
Gaduwa,2,3500000,Apartment,Apartment,2bdrm Block of Flats in Gaduwa for rent,2026-05-30 13:28:49
Jahi,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Jahi for rent,2026-05-30 13:28:49
Jahi,20,72000000,Apartment,Apartment,20bdrm Block of Flats in Jahi for rent,2026-05-30 13:28:49
Mabushi,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Nugget, Mabushi for rent",2026-05-30 13:28:49
Wuye,4,25000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Wuye for rent,2026-05-30 13:28:49
Life Camp,2,5000000,Apartment,Apartment,"2bdrm Block of Flats in Paradise, Life Camp for rent",2026-05-30 13:28:49
Jahi,4,15000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Jahi Gilmore for rent,2026-05-30 13:28:49
Life Camp,2,6000000,Apartment,Apartment,2bdrm Apartment in Life Camp for rent,2026-05-30 13:28:49
Jahi,2,8000000,Apartment,Apartment,"2bdrm Block of Flats in Fortune Estate, Jahi for rent",2026-05-30 13:28:49
Jahi,5,20000000,Duplex,Detached Duplex,Furnished 5bdrm Duplex in Jahi for rent,2026-05-30 13:28:56
Asokoro,2,15000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Asokoro for rent,2026-05-30 13:28:56
Gwarinpa,4,13000000,Duplex,Detached Duplex,"4bdrm Duplex in Mabeglober Estate, Gwarinpa for rent",2026-05-30 13:28:56
Galadimawa,4,8000000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in Levi Estate, Galadimawa for rent",2026-05-30 13:28:56
Gwarinpa,4,12000000,Duplex,Detached Duplex,"4bdrm Duplex in Gwarimpa Estate, Gwarinpa for rent",2026-05-30 13:28:56
Maitama,4,75000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:28:56
Kado,6,18000000,House,House,6bdrm Bungalow in Kado for rent,2026-05-30 13:28:56
Wuye,2,6500000,Apartment,Apartment,2bdrm Block of Flats in Wuye for rent,2026-05-30 13:28:56
Mabushi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:28:56
Mabushi,4,25000000,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:28:56
Jahi,3,72000000,Apartment,Apartment,3bdrm Block of Flats in Jahi for rent,2026-05-30 13:28:56
Wuye,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Wuye for rent,2026-05-30 13:28:56
Maitama,7,100000000,Duplex,Detached Duplex,7bdrm Duplex in Maitama for rent,2026-05-30 13:28:56
Maitama,10,250000000,Duplex,Detached Duplex,10bdrm Duplex in Maitama District for rent,2026-05-30 13:28:56
Mabushi,1,3500000,Apartment,Self Contain,Studio Apartment in Mabushi for rent,2026-05-30 13:28:56
Jahi,3,10000000,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:28:56
Jahi,3,7500000,Apartment,Apartment,3bdrm Apartment in Jahi for rent,2026-05-30 13:29:04
Life Camp,2,6500000,Apartment,Apartment,"2bdrm Block of Flats in Bilaad Estate, Life Camp for rent",2026-05-30 13:29:04
Gwarinpa,2,4200000,Apartment,Apartment,"2bdrm Block of Flats in Justice Estate, Gwarinpa for rent",2026-05-30 13:29:04
Asokoro,3,23000000,Apartment,Apartment,3bdrm Apartment in Asokoro for rent,2026-05-30 13:29:04
Maitama,6,80000000,Duplex,Detached Duplex,6bdrm Duplex in Maitama for rent,2026-05-30 13:29:04
Jahi,2,9000000,Apartment,Apartment,"2bdrm Block of Flats in Jahi Gilmore,Fct for rent",2026-05-30 13:29:04
Kubwa,1,2500000,Apartment,Apartment,"1bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:29:04
Gwarinpa,4,16000000,Duplex,Detached Duplex,"4bdrm Duplex in Gwarimpa Estate By, Gwarinpa for rent",2026-05-30 13:29:04
Gwarinpa,3,15000000,Duplex,Detached Duplex,"Furnished 3bdrm Duplex in Gwarimpa Extension, Gwarinpa for rent",2026-05-30 13:29:04
Life Camp,3,10000000,Duplex,Detached Duplex,3bdrm Duplex in Life Camp for rent,2026-05-30 13:29:04
Jahi,3,20000000,Apartment,Apartment,Furnished 3bdrm Block of Flats in Jahi for rent,2026-05-30 13:29:04
Mabushi,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Nugget, Mabushi for rent",2026-05-30 13:29:04
Mabushi,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Nugget, Mabushi for rent",2026-05-30 13:29:09
Jahi,5,16000000,Duplex,Detached Duplex,5bdrm Duplex in Jahi Gilmore Fct for rent,2026-05-30 13:29:09
Gwarinpa,4,10000000,House,House,"4bdrm Bungalow in Gwarimpa Extension, Gwarinpa for rent",2026-05-30 13:29:09
Life Camp,2,6000000,Apartment,Apartment,2bdrm Apartment in Life Camp for rent,2026-05-30 13:29:09
Katampe,5,25000000,Duplex,Detached Duplex,"5bdrm Duplex in Nuggy, Katampe for rent",2026-05-30 13:29:09
Jahi,4,15000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:29:09
Wuye,2,6500000,Apartment,Apartment,2bdrm Block of Flats in Wuye for rent,2026-05-30 13:29:09
Mabushi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:29:09
Kado,1,2000000,Apartment,Apartment,1bdrm Apartment in Kado for rent,2026-05-30 13:29:09
Jabi,3,7000000,Apartment,Apartment,3bdrm Apartment in Jabi for rent,2026-05-30 13:29:09
Wuye,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Wuye District for rent,2026-05-30 13:29:09
Durumi,3,15000000,Duplex,Detached Duplex,3bdrm Duplex in Durumi District for rent,2026-05-30 13:29:09
Maitama,6,80000000,Duplex,Detached Duplex,6bdrm Duplex in Maitama for rent,2026-05-30 13:29:09
Durumi,2,6000000,Apartment,Apartment,2bdrm Block of Flats in Durumi for rent,2026-05-30 13:29:09
Gwarinpa,4,11000000,Duplex,Detached Duplex,"4bdrm Duplex in Gwarimpa Estate,Fct, Gwarinpa for rent",2026-05-30 13:29:17
Jahi,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Jahi Gilmore,Very for rent",2026-05-30 13:29:17
Jabi,2,20000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Jabi for rent,2026-05-30 13:29:17
Kado,5,30000000,Duplex,Terraced Duplex,5bdrm Townhouse / Terrace in Kado District for rent,2026-05-30 13:29:17
Asokoro,5,25000000,Duplex,Detached Duplex,5bdrm Duplex in Asokoro for rent,2026-05-30 13:29:17
Maitama,3,20000000,Duplex,Terraced Duplex,"3bdrm Townhouse / Terrace in Main Maita, Maitama for rent",2026-05-30 13:29:17
Wuye,1,7300000,Apartment,Apartment,Furnished 1bdrm Apartment in Wuye for rent,2026-05-30 13:29:17
Maitama,7,50000000,Duplex,Detached Duplex,7bdrm Duplex in Maitama for rent,2026-05-30 13:29:17
Mabushi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:29:17
Durumi,3,5000000,Apartment,Apartment,3bdrm Block of Flats in Durumi for rent,2026-05-30 13:29:17
Jahi,3,12500000,Apartment,Apartment,3bdrm Block of Flats in Jahi for rent,2026-05-30 13:29:17
Jahi,3,8500000,Apartment,Apartment,3bdrm Block of Flats in Jahi for rent,2026-05-30 13:29:17
Mabushi,4,13000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Mabushi for rent,2026-05-30 13:29:25
Jahi,2,7000000,Apartment,Apartment,2bdrm Apartment in Jahi for rent,2026-05-30 13:29:25
Life Camp,2,8800000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Brains & Hammers for rent,2026-05-30 13:29:25
Kubwa,2,3500000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:29:25
Gwarinpa,3,5500000,Duplex,Terraced Duplex,"3bdrm Townhouse / Terrace in Belham, Gwarinpa for rent",2026-05-30 13:29:25
Kubwa,2,3000000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:29:25
Jabi,3,5500000,Apartment,Apartment,3bdrm Block of Flats in Main Jabi By Fcmb for rent,2026-05-30 13:29:25
Kado,4,20000000,Duplex,Detached Duplex,4bdrm Duplex in Kado Before Life for rent,2026-05-30 13:29:25
Gwarinpa,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Gwarimpa Estate By, Gwarinpa for rent",2026-05-30 13:29:25
Gwarinpa,4,11000000,Duplex,Detached Duplex,"4bdrm Duplex in Gwarimpa, Gwarinpa for rent",2026-05-30 13:29:25
Jahi,3,15000000,Apartment,Apartment,3bdrm Apartment in Jahi Gilmore for rent,2026-05-30 13:29:25
Wuye,4,15000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Main Wuye for rent,2026-05-30 13:29:25
Jabi,3,7000000,Apartment,Apartment,3bdrm Apartment in Jabi for rent,2026-05-30 13:29:25
Asokoro,6,45000000,Duplex,Detached Duplex,6bdrm Duplex in Asokoro District for rent,2026-05-30 13:29:32
Wuye,4,25000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Wuye Main for rent,2026-05-30 13:29:32
Jahi,4,20000000,Duplex,Detached Duplex,4bdrm Duplex in Jahi for rent,2026-05-30 13:29:32
Life Camp,4,16000000,Duplex,Detached Duplex,4bdrm Duplex in Life Camp for rent,2026-05-30 13:29:32
Mabushi,3,7000000,Apartment,Apartment,3bdrm Block of Flats in Mabushi for rent,2026-05-30 13:29:32
Jahi,3,10000000,Apartment,Apartment,"Furnished 3bdrm Block of Flats in Gilmo, Jahi for rent",2026-05-30 13:29:32
Wuye,4,20000000,Apartment,Apartment,4bdrm Apartment in Wuye for rent,2026-05-30 13:29:32
Idu,2,6000000,Apartment,Apartment,Furnished 2bdrm Apartment in Main Idu for rent,2026-05-30 13:29:32
Jahi,5,18000000,Duplex,Terraced Duplex,5bdrm Townhouse / Terrace in Jahi Gilmore for rent,2026-05-30 13:29:32
Jahi,3,12500000,Apartment,Apartment,3bdrm Block of Flats in Jahi for rent,2026-05-30 13:29:32
Durumi,3,9000000,Apartment,Apartment,"3bdrm Block of Flats in Durunmi, Durumi for rent",2026-05-30 13:29:32
Kubwa,3,6000000,Duplex,Terraced Duplex,"3bdrm Townhouse / Terrace in Dantata Estate, Kubwa for rent",2026-05-30 13:29:32
Jahi,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Jahi Gilmore,Very for rent",2026-05-30 13:29:37
Jahi,3,15000000,Apartment,Apartment,3bdrm Apartment in Jahi Gilmore for rent,2026-05-30 13:29:37
Lokogoma,1,550000,House,House,1bdrm Bungalow in Lokogoma for rent,2026-05-30 13:29:37
Maitama,2,15000000,Apartment,Apartment,2bdrm Apartment in Maitama District for rent,2026-05-30 13:29:37
Utako,4,18000000,Duplex,Detached Duplex,4bdrm Duplex in Utako District for rent,2026-05-30 13:29:37
Mabushi,3,7000000,Apartment,Apartment,3bdrm Apartment in Mabushi for rent,2026-05-30 13:29:37
Life Camp,6,35000000,Duplex,Detached Duplex,6bdrm Duplex in Life Camp for rent,2026-05-30 13:29:37
Wuye,1,7300000,Apartment,Apartment,Furnished 1bdrm Apartment in Wuye for rent,2026-05-30 13:29:37
Durumi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Durumi for rent,2026-05-30 13:29:37
Mabushi,4,13000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Mabushi for rent,2026-05-30 13:29:37
Jahi,4,15000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:29:37
Gwarinpa,3,11000000,Duplex,Terraced Duplex,"Furnished 3bdrm Townhouse / Terrace in Belham Estate, Gwarinpa for rent",2026-05-30 13:29:37
Wuye,3,170000000,Apartment,Apartment,3bdrm Apartment in Wuye for rent,2026-05-30 13:29:37
Gwarinpa,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Gwarimpa Estate Fct, Gwarinpa for rent",2026-05-30 13:29:37
Wuye,4,20000000,Apartment,Apartment,4bdrm Apartment in Wuye for rent,2026-05-30 13:29:45
Jabi,1,16500000,Apartment,Apartment,1bdrm Apartment in Jabi Main for rent,2026-05-30 13:29:45
Mabushi,4,17000000,Duplex,Detached Duplex,4bdrm Duplex in Mabushi District for rent,2026-05-30 13:29:45
Maitama,4,90000000,Duplex,Terraced Duplex,Furnished 4bdrm Townhouse / Terrace in Maitama District for rent,2026-05-30 13:29:45
Jahi,3,10000000,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:29:45
