Property Type,Price (Per Annum),Location
3 bedroom flat / apartment for rent,"₦8,000,000","By Victoria Garden, Mabushi, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦2,000,000","Kubwa, Abuja"
1 bedroom flat / apartment for rent,"₦2,500,000","By Nnpc Ochacho, Life Camp, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","By Nnpc Ochacho, Life Camp, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","News Engineering, Dawaki, Gwarinpa, Abuja"
4 bedroom semi-detached duplex for rent,"₦9,000,000","Idu Industrial, Abuja"
2 bedroom flat / apartment for rent,"₦20,000,000","Maitama District, Abuja"
26 bedroom house for rent,"₦250,000,000","Area 11, Garki, Abuja"
4 bedroom terraced duplex for rent,"₦37,000,000","Wuye, Abuja"
4 bedroom terraced duplex for rent,"₦25,000,000","Jabi, Abuja"
1 bedroom flat / apartment for rent,"₦3,000,000","Behind Aso Radio, Katampe (Main), Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦12,000,000","Kado, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Apo, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Apo, Abuja"
1 bedroom flat / apartment for rent,"₦6,500,000","Gilmore, Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦8,000,000","Close To Galadimawa Roundabout, Galadimawa, Abuja"
4 bedroom terraced duplex for rent,"₦40,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦20,000,000","Wuye, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦20,000,000","Wuye, Wuye, Abuja"
2 bedroom flat / apartment for rent,"₦15,000,000","Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦15,000,000","Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦10,000,000","Mpape, Maitama 2, Maitama District, Abuja"
Warehouse for rent,"₦16,000","Plot 751 Adamu Ismaila Crescent, Idu Industrial, Abuja"
Self contain (single rooms) for rent,"₦1,500,000","3rd Avenue, Gwarinpa, Abuja"
5 bedroom detached duplex for rent,"₦18,000,000","Gwarinpa, Abuja"
5 bedroom terraced duplex for rent,"₦25,000,000","Asokoro District, Abuja"
Shop for rent,"₦3,000,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Zone 3, Wuse, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","Katampe (Main), Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦7,500,000","Galadimawa, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Cedar Crest Hospital, Apo, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Life Camp, Abuja"
Self contain (single rooms) for rent,"₦900,000","Piwoyi Airport Road, Lugbe District, Abuja"
3 bedroom flat / apartment for rent,"₦12,000,000","Main, Katampe, Abuja"
4 bedroom flat / apartment for rent,"₦15,000,000","Katampe (Main), Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Kubwa, Abuja"
Self contain (single rooms) for rent,"₦2,000,000","Mabushi, Mabushi, Abuja"
5 bedroom detached duplex for rent,"₦50,000,000","Maitama District, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","Mabushi, Abuja"
2 bedroom house for rent,"₦15,000,000","Wuse 2, Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦3,000,000","By Dunamis Church Durumi, Garki, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Off Ibb Boulevard, Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦5,500,000","Brains And Hammer City, Life Camp, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Off Aminu Kano Crescent, Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Kaura, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Katampe Main, Katampe, Abuja"
Shop for rent,"₦6,500,000","Off Aminu Kano Crescent, Wuse 2, Abuja"
Shop for rent,"₦9,000,000","Off Aminu Kano Crescent, Wuse 2, Abuja"
Shop for rent,"₦15,000,000","By The Catholic Church, Zone 2, Wuse, Abuja"
3 bedroom house for rent,"₦10,000,000","Efab Queen Estate Gwarinpa, Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦18,000,000","Fha Estate Guzape, Guzape District, Abuja"
Self contain (single rooms) for rent,"₦2,000,000","Life Camp, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Utako, Abuja"
6 bedroom detached duplex for rent,"₦100,000,000","Asokoro District, Abuja"
3 bedroom flat / apartment for rent,"₦6,500,000","Gwarinpa Extension, Gwarinpa, Abuja"
4 bedroom detached duplex for rent,"₦4,500,000","Lugbe District, Abuja"
3 bedroom flat / apartment for rent,"₦5,500,000","Custom Quarters, Idu Industrial, Abuja"
4 bedroom terraced duplex for rent,"₦30,000,000","Guzape District, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦20,000,000","Asokoro District, Abuja"
2 bedroom flat / apartment for rent,"₦13,000,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Katampe (Main), Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","Katampe (Main), Katampe, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦6,000,000","Katampe (Main), Katampe, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦3,000,000","Life Camp, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","Impresit, Idu Industrial, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Katampe, Abuja"
30 bedroom house for rent,"₦450,000,000","Opposite Cbn, Central Business District, Abuja"
2 bedroom flat / apartment for rent,"₦10,000,000","Oba Akran Street, Asokoro District, Abuja"
3 bedroom detached bungalow for rent,"₦18,000,000","Kado Estate Phase 1, Kado, Abuja"
1 bedroom flat / apartment for rent,"₦4,000,000","Naf Valley Estate, Asokoro District, Abuja"
5 bedroom detached duplex for rent,"₦35,000,000","Asokoro District, Abuja"
2 bedroom flat / apartment for rent,"₦20,000,000","Villa, Asokoro District, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","Not Far From Bannex Plaza Off Aminu Kano Street., Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Katampe Extension, Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦10,000,000","Maitama District, Abuja"
Office space for rent,"₦6,500,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Next Cash And Carry, Kado, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","Jahi, Abuja"
5 bedroom detached duplex for rent,"₦60,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Wuye, Abuja"
Plaza / complex / mall for rent,"₦4,830,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦12,000,000","Guzape, Guzape District, Abuja"
8 bedroom detached duplex for rent,"₦65,000,000","Asokoro District, Abuja"
6 bedroom detached duplex for rent,"₦50,000,000","Asokoro District, Abuja"
3 bedroom detached bungalow for rent,"₦20,000,000","Kado, Abuja"
Commercial property for rent,"₦34,100,000","Wuse 2, Abuja"
4 bedroom semi-detached duplex for rent,"₦25,000,000","Kukwaba, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","News Engineering, Dawaki, Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Life Camp, Abuja"
Plaza / complex / mall for rent,"₦12,500,000","Wuse 2, Abuja"
5 bedroom detached duplex for rent,"₦40,000,000","Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦40,000,000","By Hmedix, Gwarinpa, Abuja"
5 bedroom detached duplex for rent,"₦20,000,000","By Hmedix, Gwarinpa, Abuja"
3 bedroom terraced duplex for rent,"₦15,000,000","Jabi, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Diplomatic Zone., Katampe Extension, Katampe, Abuja"
Plaza / complex / mall for rent,"₦450,000,000","Central Business District, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Katampe, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
Plaza / complex / mall for rent,"₦65,000,000","Zone 6, Wuse, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Close To Cedar Crest Hospital, Apo, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Rockvale Manors Estate, Apo, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Jahi, Abuja"
3 bedroom house for rent,"₦10,000,000","Apo, Abuja"
5 bedroom detached duplex for rent,"₦20,000,000","Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦6,500,000","Fha  Guzape, Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Durumi, Abuja"
5 bedroom detached duplex for rent,"₦30,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Guzape District, Abuja"
3 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","River Park, Lugbe District, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Katampe Extension, Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦8,500,000","Gilmore, Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Wuye, Abuja"
5 bedroom detached duplex for rent,"₦100,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Katampe Extension, Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦70,000,000","Wuse 2, Abuja"
5 bedroom detached duplex for rent,"₦20,000,000","Kado, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦23,000,000","Ty Danjuma, Asokoro District, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Apo, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Mabushi, Abuja"
3 bedroom detached duplex for rent,"₦4,000,000","Airport Road, Opposite Dunamis Church, Lugbe District, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Apo, Abuja"
Plaza / complex / mall for rent,"₦65,000,000","Wuse, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","Garki, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Katampe Road, Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","By Gtbank, Jabi, Abuja"
3 bedroom flat / apartment for rent,"₦35,000,000","Maitama District, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Apo, Abuja"
1 bedroom flat / apartment for rent,"₦1,500,000","Katampe Extension, Katampe, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Apo, Abuja"
3 bedroom terraced duplex for rent,"₦12,000,000","Rockvale Manors Estate, Apo, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Katampe Extension, Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Katampe Extension, Katampe, Abuja"
3 bedroom house for rent,"₦25,000,000","Usuma Street, Maitama District, Abuja"
4 bedroom semi-detached duplex for rent,"$50,000","Maitama District, Abuja"
5 bedroom terraced duplex for rent,"₦27,000,000","Wuse, Abuja"
5 bedroom semi-detached duplex for rent,"₦30,000,000","Wuye, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Wuye, Abuja"
4 bedroom detached duplex for rent,"₦40,000","Asokoro District, Abuja"
3 bedroom flat / apartment for rent,"₦15,000,000","By Rockview Hotel, Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦10,000,000","Apo Legislative Quarters Zone E, Apo, Abuja"
5 bedroom detached duplex for rent,"₦25,000,000","Legislative Quarters, Apo, Abuja"
4 bedroom detached duplex for rent,"₦15,000,000","Cedar Crest Hospital, Apo, Abuja"
2 bedroom flat / apartment for rent,"₦3,500,000","Extension 3, FO1 Layout, Kubwa, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦6,000,000","Gaduwa, Abuja"
4 bedroom terraced duplex for rent,"₦35,000,000","Guzape Main, Guzape District, Abuja"
1 bedroom flat / apartment for rent,"₦3,500,000","News Engineering, Dawaki, Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","Life Camp, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦7,500,000","Life Camp, Abuja"
3 bedroom detached bungalow for rent,"₦7,000,000","Karsana, Gwarinpa, Abuja"
Self contain (single rooms) for rent,"₦2,000,000","Kado Estate, Kado, Abuja"
5 bedroom detached duplex for rent,"₦28,000,000","Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","2nd Avenue, Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Katampe Extension, Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦12,000,000","Utako, Abuja"
3 bedroom terraced duplex for rent,"₦12,000,000","Rockvale Manors Estate, Apo, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Guzape District, Abuja"
5 bedroom detached duplex for rent,"₦55,000,000","Asokoro District, Abuja"
4 bedroom house for rent,"₦19,000,000","Guzape District, Abuja"
1 bedroom flat / apartment for rent,"₦5,000,000","3rd Avenue, Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦13,500,000","Apo Dutse Opposite Cedarcrest Hospital, Apo, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Nnpc Estate By Ochacho, Life Camp, Abuja"
6 bedroom detached duplex for rent,"₦35,000,000","Asokoro District, Abuja"
3 bedroom flat / apartment for rent,"₦15,000,000","Wuye, Abuja"
3 bedroom detached bungalow for rent,"₦10,000,000","Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦4,000,000","Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦9,000,000","First Avenue, Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Area 2, Garki, Abuja, Garki, Abuja"
3 bedroom flat / apartment for rent,"₦6,500,000","Lokogoma District, Abuja"
3 bedroom flat / apartment for rent,"₦12,000,000","Guzape District, Abuja"
1 bedroom flat / apartment for rent,"₦5,500,000","Wuse Zone 5, Wuse, Abuja"
4 bedroom terraced duplex for rent,"₦18,000,000","Katampe Extension, Katampe, Abuja"
3 bedroom terraced duplex for rent,"₦15,000,000","Kado, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Living Faith, Jahi, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Zone 3, Wuse, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Ameyo Adadevoh Way, Gilmore, Jahi, Abuja"
4 bedroom detached duplex for rent,"₦20,000,000","Mabushi, Abuja"
Self contain (single rooms) for rent,"₦1,400,000","4th Avenue, Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦11,000,000","Lifecamp, Life Camp, Abuja"
2 bedroom flat / apartment for rent,"₦5,500,000","Main F01, FO1 Layout, Kubwa, Abuja"
4 bedroom detached bungalow for rent,"₦2,000,000","Cajaah Estate, Orozo, Abuja"
Self contain (single rooms) for rent,"₦800,000","Lokogoma District, Abuja"
3 bedroom detached bungalow for rent,"₦4,000,000","Lugbe District, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Jabi, Abuja"
3 bedroom terraced duplex for rent,"₦12,000,000","Apo, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","Off Nicholas Agha Crescent, Life Camp, Abuja"
3 bedroom semi-detached duplex for rent,"₦7,500,000","Sun City Estate, Lokogoma District, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦6,000,000","Off 3rd Avenue, Dantata Estate, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","Maitama, Maitama District, Abuja"
2 bedroom terraced duplex for rent,"₦7,000,000","Naf Estate., Asokoro District, Abuja"
3 bedroom terraced duplex for rent,"₦12,000,000","Apo, Apo, Abuja"
Shop for rent,"₦6,000,000","Wuye, Abuja"
Office space for rent,"₦20,000,000","Wuse, Abuja"
4 bedroom terraced duplex for rent,"₦13,500,000","By Living Faith Church, Katampe (Main), Katampe, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
Plaza / complex / mall for rent,"₦170,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","Nnpc Estate Around Ochacho Estate, Life Camp, Abuja"
4 bedroom detached duplex for rent,"₦35,000,000","Asokoro District, Abuja"
3 bedroom terraced duplex for rent,"₦14,000,000","Naf Valley Estate, Asokoro District, Abuja"
Office space for rent,"₦150,000,000","T.y Danjuma Street, Asokoro District, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","By Living Faith Church, Jahi, Abuja"
Shop for rent,"₦5,000,000","Wuse 2, Abuja"
5 bedroom house for rent,"₦50,000,000","Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦13,500,000","Dutse, Opposite Cedar Crest Hospital, Apo, Abuja"
1 bedroom semi-detached bungalow for rent,"₦3,000,000","Copa Cabana Estate Wumba, Wumba, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","Galadimawa, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Jabi, Jabi, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Gaduwa, Abuja"
3 bedroom terraced duplex for rent,"$35,000","Maitama District, Abuja"
4 bedroom flat / apartment for rent,"₦15,000,000","Jahi, Abuja"
Office space for rent,"₦5,000,000","Ademola Adetokubor Crescent, Wuse 2, Abuja"
10 bedroom detached duplex for rent,"₦50,000,000","Zone 3, Wuse, Abuja"
4 bedroom terraced duplex for rent,"₦25,000,000","Katampe Extension, Katampe, Abuja"
4 bedroom detached duplex for rent,"₦17,000,000","Gwarimpa Estate By 6th Avenue,fct Abuja Nigeria, Gwarinpa, Abuja"
3 bedroom house for rent,"₦11,000,000","Wuye Abuja, Wuye, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
4 bedroom detached duplex for rent,"₦30,000,000","Guzape District, Abuja"
5 bedroom terraced duplex for rent,"₦20,000,000","Gilmor, Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Life Camp, Abuja"
Plaza / complex / mall for rent,"₦150,000,000","Asokoro District, Abuja"
Commercial property for rent,"₦20,300,000","Wuse 2, Abuja"
3 bedroom house for rent,"₦6,000,000","Garki, Abuja"
4 bedroom detached duplex for rent,"₦35,000,000","Asokoro District, Abuja"
4 bedroom terraced duplex for rent,"₦9,000,000","Durumi, Abuja"
Office space for rent,"₦3,000,000","Mabushi, Abuja"
3 bedroom flat / apartment for rent,"₦8,500,000","Jabi, Abuja"
Self contain (single rooms) for rent,"₦2,000,000","Gaduwa, Abuja"
Self contain (single rooms) for rent,"₦1,500,000","Lugbe District, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","Galadimawa, Abuja"
3 bedroom flat / apartment for rent,"₦4,000,000","Life Camp, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","Life Camp, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Jahi, Abuja"
4 bedroom semi-detached duplex for rent,"₦30,000,000","Guzape District, Abuja"
4 bedroom semi-detached duplex for rent,"₦5,000,000","Before Premier Academy, FHA (F.H.A), Lugbe District, Abuja"
5 bedroom terraced duplex for rent,"₦20,000,000","Jahi, Abuja"
5 bedroom semi-detached duplex for rent,"₦50,000,000","Maitama District, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦12,500,000","Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦18,000,000","Jahi, Abuja"
4 bedroom semi-detached duplex for rent,"₦25,000,000","Life Camp, Abuja"
4 bedroom house for rent,"₦23,000,000","Katampe Extension, Katampe, Abuja"
5 bedroom house for rent,"₦25,000,000","Life Camp, Abuja"
4 bedroom detached duplex for rent,"$60,000","Maitama District, Abuja"
4 bedroom detached duplex for rent,"$35,000,000","Jabi, Abuja"
Office space for rent,$200,"Central Business District, Abuja"
2 bedroom flat / apartment for rent,"$55,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"$120,000","Central Business District, Abuja"
1 bedroom mini flat (room and parlour) for rent,"$90,000","Central Business District, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Mabushi, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Katampe Extension, Katampe, Abuja"
Shop for rent,"₦7,000,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Close To Bannex Bridge, Mabushi, Abuja"
Self contain (single rooms) for rent,"₦600,000","Peace Village, FHA (F.H.A), Lugbe District, Abuja"
2 bedroom detached bungalow for rent,"₦4,000,000","A&g Estate Phase2, FHA (F.H.A), Lugbe District, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦3,500,000","By American Intâl School, Durumi, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Wuye, Abuja"
3 bedroom flat / apartment for rent,"₦6,500,000","By Gtbank, Durumi, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦11,000,000","Wuye, Abuja"
3 bedroom detached bungalow for rent,"₦15,000,000","Gwarinpa, Abuja"
Self contain (single rooms) for rent,"₦1,300,000","Katampe (Main), Katampe, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦2,500,000","Katampe (Main), Katampe, Abuja"
5 bedroom detached duplex for rent,"₦30,000,000","Katampe Main By Emirates Estate ,fct Abuja Nigeria, Katampe (Main), Katampe, Abuja"
4 bedroom detached duplex for rent,"₦15,000,000","Gwarinpa, Abuja"
1 bedroom flat / apartment for rent,"₦7,000,000","Asokoro District, Abuja"
2 bedroom flat / apartment for rent,"₦7,500,000","Mabushi, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","By American International School, Durumi, Abuja"
3 bedroom flat / apartment for rent,"₦5,000,000","By American International School, Durumi, Abuja"
4 bedroom detached duplex for rent,"₦15,000,000","By Cedacrest, Apo, Abuja"
5 bedroom terraced duplex for rent,"₦20,000,000","Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦6,500,000","Jahi District Abuja. Access Road Is Well Tarred., Jahi, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦2,000,000","Lokogoma District, Abuja"
3 bedroom semi-detached duplex for rent,"₦7,500,000","Sun City Estate, Galadimawa, Abuja"
Self contain (single rooms) for rent,"₦3,000,000","Asokoro District, Abuja"
5 bedroom terraced duplex for rent,"₦15,000,000","Naf Valley Estate, Asokoro District, Abuja"
Plaza / complex / mall for rent,"₦400,000,000","Garki, Abuja"
3 bedroom flat / apartment for rent,"₦13,000,000","Wuse 2, Abuja"
2 bedroom house for rent,"₦12,000,000","Jahi, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦1,500,000","Arab Road, Kubwa, Abuja"
2 bedroom flat / apartment for rent,"₦17,000,000","Gilmore, Jahi, Abuja"
4 bedroom detached duplex for rent,"₦15,000,000","Apo By Gudu Junction, Close To Cedarcrest Hospital, Apo, Abuja"
3 bedroom flat / apartment for rent,"₦4,500,000","Lugbe District, Abuja"
4 bedroom semi-detached duplex for rent,"₦15,000,000","Stella Maris, Life Camp, Abuja"
4 bedroom terraced duplex for rent,"₦40,000,000","Maitama District, Abuja"
7 bedroom detached duplex for rent,"₦80,000,000","Asokoro District, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Dawaki, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦50,000,000","Wuse 2, Abuja"
3 bedroom terraced duplex for rent,"$35,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦18,000,000","Jahi, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Gaduwa, Abuja"
5 bedroom terraced duplex for rent,"₦20,000,000","Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦30,000,000","Naf Valley, Asokoro District, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Katampe Extension, Katampe, Abuja"
3 bedroom terraced duplex for rent,"₦15,000,000","Gilmore, Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape, Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Mabushi, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Katampe Behind Urban Shelter, Katampe (Main), Katampe, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
6 bedroom detached duplex for rent,"₦45,000,000","Wuse 2, Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Near American School, Durumi, Abuja"
4 bedroom detached duplex for rent,"₦20,000,000","Katampe Extension, Katampe Extension, Katampe, Abuja"
6 bedroom terraced duplex for rent,"₦25,000,000","Katampe Extension, Katampe, Abuja"
4 bedroom detached duplex for rent,"₦20,000,000","Jabi Lake Mall Axis, Kado, Abuja"
2 bedroom house for rent,"₦4,000,000","FO1 Layout, Kubwa, Abuja"
2 bedroom flat / apartment for rent,"₦3,000,000","F14 Nepa Road Phase 4, Kubwa, Abuja"
3 bedroom terraced duplex for rent,"₦11,000,000","Jabi, Abuja"
1 bedroom flat / apartment for rent,"₦2,500,000","FO1 Layout, Kubwa, Abuja"
Warehouse for rent,"₦1,500,000","FO1 Layout, Kubwa, Abuja"
4 bedroom semi-detached duplex for rent,"₦80,000,000","Asokoro District, Abuja"
2 bedroom flat / apartment for rent,"$65,000","Asokoro District, Abuja"
4 bedroom house for rent,"₦10,000,000","Gaduwa, Abuja"
4 bedroom house for rent,"₦15,000,000","Peachville, Dakibiyu, Abuja"
2 bedroom flat / apartment for rent,"$37,000","Jabi, Abuja"
2 bedroom flat / apartment for rent,"$16,000","Jabi, Abuja"
3 bedroom flat / apartment for rent,"₦20,000,000","Wuse 2, Abuja"
3 bedroom terraced duplex for rent,$35,"Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","2nd Avenue, Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
2 bedroom semi-detached duplex for rent,"₦5,000,000","By Sahara 4, Lokogoma District, Abuja"
Self contain (single rooms) for rent,"₦1,000,000","Lokogoma District, Abuja"
5 bedroom terraced duplex for rent,"₦15,000,000","Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦30,000,000","Maitama District, Abuja"
Self contain (single rooms) for rent,"₦1,800,000","By American International School, Durumi, Abuja"
4 bedroom detached duplex for rent,"₦8,000,000","Dawaki, Gwarinpa, Abuja"
